hsa	bta
hsa0000010352	bta0000037713
hsa0000010356	bta0000037700
hsa0000010362	bta0000037701
hsa0000010371	bta0000037705
hsa0000010402	bta0000037955
hsa0000010403	bta0000037956
hsa0000010405	bta0000034380
hsa0000010407	bta0000034382
hsa0000010409	bta0000034383
hsa0000010413	bta0000034386
hsa0000010415	bta0000034388
hsa0000010420	bta0000034391
hsa0000010426	bta0000034394
hsa0000010432	bta0000036961
hsa0000010433	bta0000036962
hsa0000010433	bta0000036963
hsa0000010434	bta0000036963
hsa0000010436	bta0000036964
hsa0000010437	bta0000036965
hsa0000010439	bta0000036966
hsa0000010441	bta0000036968
hsa0000010446	bta0000036935
hsa0000010447	bta0000036936
hsa0000010448	bta0000036937
hsa0000010449	bta0000036938
hsa0000010531	bta0000140718
hsa0000010532	bta0000140719
hsa0000010534	bta0000140720
hsa0000010535	bta0000140721
hsa0000010536	bta0000140721
hsa0000010537	bta0000140722
hsa0000010540	bta0000140725
hsa0000010542	bta0000140726
hsa0000010549	bta0000140731
hsa0000010562	bta0000031368
hsa0000010563	bta0000031369
hsa0000010565	bta0000031371
hsa0000010567	bta0000215261
hsa0000010571	bta0000215264
hsa0000010572	bta0000215265
hsa0000010573	bta0000215265
hsa0000010574	bta0000215266
hsa0000010575	bta0000215267
hsa0000010576	bta0000215268
hsa0000010577	bta0000215269
hsa0000010579	bta0000036013
hsa0000010583	bta0000036019
hsa0000010591	bta0000023035
hsa0000010592	bta0000023036
hsa0000010594	bta0000023038
hsa0000010595	bta0000023039
hsa0000010596	bta0000023040
hsa0000010598	bta0000023043
hsa0000010600	bta0000023031
hsa0000010637	bta0000028924
hsa0000010638	bta0000028925
hsa0000010639	bta0000028926
hsa0000010640	bta0000028926
hsa0000010641	bta0000028927
hsa0000010642	bta0000028928
hsa0000010644	bta0000028907
hsa0000010646	bta0000028909
hsa0000010647	bta0000028910
hsa0000010648	bta0000028911
hsa0000010649	bta0000028912
hsa0000010652	bta0000028915
hsa0000010656	bta0000028918
hsa0000010659	bta0000028920
hsa0000010660	bta0000028920
hsa0000010661	bta0000028921
hsa0000010663	bta0000028923
hsa0000010691	bta0000082132
hsa0000010697	bta0000081179
hsa0000010698	bta0000081226
hsa0000010701	bta0000039317
hsa0000010710	bta0000082134
hsa0000010718	bta0000143511
hsa0000010744	bta0000141564
hsa0000010744	bta0000141563
hsa0000010745	bta0000141565
hsa0000010749	bta0000141567
hsa0000010751	bta0000141569
hsa0000010752	bta0000141570
hsa0000010757	bta0000141574
hsa0000010761	bta0000141577
hsa0000010762	bta0000141578
hsa0000010763	bta0000141580
hsa0000010773	bta0000016687
hsa0000010774	bta0000016687
hsa0000010775	bta0000016688
hsa0000010798	bta0000016660
hsa0000010800	bta0000016662
hsa0000010803	bta0000082232
hsa0000010804	bta0000142043
hsa0000010807	bta0000142045
hsa0000010809	bta0000142046
hsa0000010810	bta0000142046
hsa0000010820	bta0000082326
hsa0000010825	bta0000039324
hsa0000010828	bta0000022792
hsa0000010830	bta0000022794
hsa0000010839	bta0000022777
hsa0000010840	bta0000022777
hsa0000010842	bta0000022778
hsa0000010849	bta0000033747
hsa0000010850	bta0000033748
hsa0000010851	bta0000033749
hsa0000010862	bta0000082142
hsa0000010863	bta0000082137
hsa0000010868	bta0000039343
hsa0000010869	bta0000082141
hsa0000010870	bta0000039349
hsa0000010884	bta0000038549
hsa0000010887	bta0000038552
hsa0000010889	bta0000038554
hsa0000010890	bta0000038555
hsa0000010893	bta0000038558
hsa0000010900	bta0000038565
hsa0000010902	bta0000038567
hsa0000010920	bta0000038585
hsa0000010982	bta0000038223
hsa0000010983	bta0000038223
hsa0000010986	bta0000038224
hsa0000010995	bta0000038199
hsa0000010996	bta0000038200
hsa0000010997	bta0000038201
hsa0000010998	bta0000038198
hsa0000011001	bta0000038518
hsa0000011001	bta0000038517
hsa0000011003	bta0000038519
hsa0000011004	bta0000038520
hsa0000011008	bta0000142619
hsa0000011009	bta0000142622
hsa0000011010	bta0000142623
hsa0000011012	bta0000142624
hsa0000011013	bta0000142625
hsa0000011014	bta0000142626
hsa0000011015	bta0000142627
hsa0000011016	bta0000142628
hsa0000011018	bta0000142629
hsa0000011023	bta0000142728
hsa0000011025	bta0000142730
hsa0000011026	bta0000142731
hsa0000011030	bta0000142734
hsa0000011031	bta0000142735
hsa0000011053	bta0000142049
hsa0000011059	bta0000142052
hsa0000011062	bta0000142056
hsa0000011063	bta0000142059
hsa0000011072	bta0000142069
hsa0000011086	bta0000141402
hsa0000011087	bta0000141402
hsa0000011089	bta0000141403
hsa0000011093	bta0000141404
hsa0000011094	bta0000141405
hsa0000011101	bta0000141409
hsa0000011107	bta0000141414
hsa0000011116	bta0000141420
hsa0000011117	bta0000031494
hsa0000011119	bta0000031496
hsa0000011120	bta0000031497
hsa0000011122	bta0000031499
hsa0000011123	bta0000031500
hsa0000011124	bta0000031501
hsa0000011125	bta0000031501
hsa0000011127	bta0000143594
hsa0000011128	bta0000143595
hsa0000011134	bta0000143599
hsa0000011137	bta0000143602
hsa0000011141	bta0000143605
hsa0000011149	bta0000143593
hsa0000011155	bta0000143614
hsa0000011158	bta0000143616
hsa0000011159	bta0000143617
hsa0000011161	bta0000143619
hsa0000011162	bta0000143620
hsa0000011176	bta0000143631
hsa0000011177	bta0000143632
hsa0000011178	bta0000143633
hsa0000011180	bta0000143634
hsa0000011219	bta0000035263
hsa0000011220	bta0000035263
hsa0000011223	bta0000035265
hsa0000011227	bta0000035269
hsa0000011228	bta0000035270
hsa0000011235	bta0000035274
hsa0000011236	bta0000035274
hsa0000011237	bta0000035275
hsa0000011238	bta0000035276
hsa0000011240	bta0000035278
hsa0000011244	bta0000035280
hsa0000011246	bta0000035283
hsa0000011247	bta0000035285
hsa0000011249	bta0000035286
hsa0000011250	bta0000035287
hsa0000011252	bta0000035288
hsa0000011253	bta0000035289
hsa0000011254	bta0000035290
hsa0000011256	bta0000035292
hsa0000011259	bta0000142347
hsa0000011259	bta0000142348
hsa0000011260	bta0000142347
hsa0000011260	bta0000142348
hsa0000011264	bta0000142352
hsa0000011270	bta0000142357
hsa0000011271	bta0000142358
hsa0000011272	bta0000142359
hsa0000011300	bta0000142129
hsa0000011301	bta0000142130
hsa0000011302	bta0000142131
hsa0000011305	bta0000142133
hsa0000011306	bta0000142134
hsa0000011318	bta0000142142
hsa0000011322	bta0000142145
hsa0000011331	bta0000142155
hsa0000011338	bta0000142159
hsa0000011342	bta0000142163
hsa0000011345	bta0000142165
hsa0000011346	bta0000142166
hsa0000011354	bta0000142174
hsa0000011356	bta0000142176
hsa0000011361	bta0000142181
hsa0000011368	bta0000142187
hsa0000011373	bta0000142189
hsa0000011383	bta0000142200
hsa0000011387	bta0000142203
hsa0000011388	bta0000022360
hsa0000011394	bta0000022366
hsa0000011406	bta0000215359
hsa0000011407	bta0000031819
hsa0000011408	bta0000031820
hsa0000011409	bta0000031821
hsa0000011412	bta0000031824
hsa0000011413	bta0000031825
hsa0000011416	bta0000214604
hsa0000011417	bta0000214607
hsa0000011420	bta0000214610
hsa0000011421	bta0000214611
hsa0000011422	bta0000214611
hsa0000011423	bta0000214612
hsa0000011425	bta0000214614
hsa0000011426	bta0000214615
hsa0000011427	bta0000214616
hsa0000011434	bta0000034938
hsa0000011434	bta0000034937
hsa0000011435	bta0000034938
hsa0000011438	bta0000034941
hsa0000011471	bta0000139995
hsa0000011593	bta0000022203
hsa0000011607	bta0000022110
hsa0000011611	bta0000022111
hsa0000011613	bta0000022113
hsa0000011614	bta0000140461
hsa0000011619	bta0000140463
hsa0000011621	bta0000140463
hsa0000011622	bta0000140464
hsa0000011623	bta0000140465
hsa0000011626	bta0000140468
hsa0000011627	bta0000140469
hsa0000011628	bta0000140469
hsa0000011630	bta0000140470
hsa0000011631	bta0000140471
hsa0000011634	bta0000140472
hsa0000011635	bta0000140473
hsa0000011636	bta0000140474
hsa0000011637	bta0000140474
hsa0000011638	bta0000140475
hsa0000011639	bta0000140476
hsa0000011640	bta0000140476
hsa0000011641	bta0000140477
hsa0000011644	bta0000140480
hsa0000011645	bta0000140481
hsa0000011646	bta0000140482
hsa0000011647	bta0000140483
hsa0000011649	bta0000140484
hsa0000011651	bta0000140486
hsa0000011652	bta0000140486
hsa0000011654	bta0000140487
hsa0000011655	bta0000140487
hsa0000011660	bta0000140490
hsa0000011662	bta0000140544
hsa0000011667	bta0000140546
hsa0000011670	bta0000140549
hsa0000011671	bta0000140550
hsa0000011673	bta0000140552
hsa0000011677	bta0000140556
hsa0000011678	bta0000140557
hsa0000011685	bta0000140584
hsa0000011688	bta0000140587
hsa0000011691	bta0000140589
hsa0000011691	bta0000140590
hsa0000011697	bta0000140667
hsa0000011698	bta0000140668
hsa0000011708	bta0000140674
hsa0000011709	bta0000140675
hsa0000011710	bta0000140676
hsa0000011717	bta0000140680
hsa0000011724	bta0000016532
hsa0000011725	bta0000016534
hsa0000011730	bta0000016539
hsa0000011736	bta0000016544
hsa0000011747	bta0000016554
hsa0000011748	bta0000016555
hsa0000011749	bta0000016556
hsa0000011754	bta0000016560
hsa0000011757	bta0000016563
hsa0000011762	bta0000139585
hsa0000011765	bta0000139587
hsa0000011767	bta0000139588
hsa0000011768	bta0000139589
hsa0000011770	bta0000139590
hsa0000011771	bta0000139591
hsa0000011776	bta0000027120
hsa0000011777	bta0000027120
hsa0000011780	bta0000027121
hsa0000011785	bta0000031355
hsa0000011789	bta0000031356
hsa0000011791	bta0000031357
hsa0000011792	bta0000031358
hsa0000011793	bta0000031359
hsa0000011795	bta0000031360
hsa0000011796	bta0000031361
hsa0000011799	bta0000031363
hsa0000011800	bta0000031364
hsa0000011804	bta0000141912
hsa0000011806	bta0000141913
hsa0000011808	bta0000081674
hsa0000011810	bta0000081675
hsa0000011815	bta0000081679
hsa0000011816	bta0000081680
hsa0000011865	bta0000033268
hsa0000011868	bta0000033271
hsa0000011870	bta0000033272
hsa0000011871	bta0000033273
hsa0000011872	bta0000033274
hsa0000011873	bta0000033275
hsa0000011875	bta0000033277
hsa0000011877	bta0000033279
hsa0000011879	bta0000033281
hsa0000011894	bta0000032931
hsa0000011898	bta0000032937
hsa0000011914	bta0000138949
hsa0000011915	bta0000138950
hsa0000011916	bta0000138951
hsa0000011918	bta0000138953
hsa0000011926	bta0000023049
hsa0000011927	bta0000023050
hsa0000011933	bta0000023053
hsa0000011937	bta0000023055
hsa0000011938	bta0000023056
hsa0000011946	bta0000036583
hsa0000011948	bta0000036584
hsa0000011951	bta0000036588
hsa0000011954	bta0000036590
hsa0000011955	bta0000036590
hsa0000011957	bta0000037608
hsa0000011960	bta0000037611
hsa0000011962	bta0000037613
hsa0000011964	bta0000036580
hsa0000011965	bta0000036581
hsa0000011965	bta0000036580
hsa0000011966	bta0000036570
hsa0000011967	bta0000036572
hsa0000011970	bta0000036573
hsa0000011972	bta0000036574
hsa0000011977	bta0000036546
hsa0000011979	bta0000036547
hsa0000011980	bta0000036548
hsa0000011981	bta0000036549
hsa0000011985	bta0000036553
hsa0000011987	bta0000036554
hsa0000011988	bta0000036557
hsa0000011989	bta0000036557
hsa0000011992	bta0000036559
hsa0000011999	bta0000022398
hsa0000012000	bta0000022399
hsa0000012001	bta0000022399
hsa0000012002	bta0000022400
hsa0000012005	bta0000022402
hsa0000012006	bta0000022403
hsa0000012007	bta0000022404
hsa0000012008	bta0000022405
hsa0000012026	bta0000038417
hsa0000012027	bta0000038418
hsa0000012029	bta0000038415
hsa0000012033	bta0000038397
hsa0000012035	bta0000038397
hsa0000012037	bta0000038398
hsa0000012039	bta0000038361
hsa0000012042	bta0000036905
hsa0000012043	bta0000036906
hsa0000012044	bta0000036906
hsa0000012045	bta0000036907
hsa0000012046	bta0000036908
hsa0000012047	bta0000036909
hsa0000012048	bta0000036910
hsa0000012049	bta0000036911
hsa0000012050	bta0000036912
hsa0000012053	bta0000036914
hsa0000012054	bta0000036898
hsa0000012055	bta0000036881
hsa0000012059	bta0000036882
hsa0000012060	bta0000036883
hsa0000012063	bta0000036885
hsa0000012066	bta0000036887
hsa0000012069	bta0000036889
hsa0000012082	bta0000037393
hsa0000012083	bta0000037394
hsa0000012085	bta0000138641
hsa0000012086	bta0000138642
hsa0000012091	bta0000138646
hsa0000012092	bta0000138647
hsa0000012103	bta0000032346
hsa0000012106	bta0000032347
hsa0000012107	bta0000032347
hsa0000012109	bta0000032350
hsa0000012110	bta0000032351
hsa0000012111	bta0000032312
hsa0000012112	bta0000032313
hsa0000012115	bta0000032316
hsa0000012116	bta0000032317
hsa0000012120	bta0000032319
hsa0000012123	bta0000032321
hsa0000012124	bta0000032321
hsa0000012128	bta0000032323
hsa0000012129	bta0000032324
hsa0000012130	bta0000032324
hsa0000012131	bta0000032325
hsa0000012132	bta0000032326
hsa0000012133	bta0000032327
hsa0000012134	bta0000032328
hsa0000012135	bta0000032329
hsa0000012136	bta0000032330
hsa0000012138	bta0000032331
hsa0000012139	bta0000032332
hsa0000012140	bta0000032333
hsa0000012141	bta0000032334
hsa0000012144	bta0000032335
hsa0000012146	bta0000032337
hsa0000012147	bta0000032338
hsa0000012148	bta0000032339
hsa0000012149	bta0000032340
hsa0000012156	bta0000034148
hsa0000012157	bta0000034149
hsa0000012163	bta0000142950
hsa0000012164	bta0000142950
hsa0000012166	bta0000142951
hsa0000012167	bta0000142952
hsa0000012168	bta0000142952
hsa0000012171	bta0000020505
hsa0000012172	bta0000020506
hsa0000012173	bta0000020507
hsa0000012174	bta0000020508
hsa0000012176	bta0000020509
hsa0000012177	bta0000020510
hsa0000012178	bta0000020511
hsa0000012179	bta0000020512
hsa0000012181	bta0000020514
hsa0000012182	bta0000020515
hsa0000012183	bta0000020516
hsa0000012185	bta0000020518
hsa0000012186	bta0000020518
hsa0000012189	bta0000020519
hsa0000012190	bta0000020519
hsa0000012192	bta0000020520
hsa0000012194	bta0000020521
hsa0000012195	bta0000020522
hsa0000012196	bta0000020523
hsa0000012197	bta0000020523
hsa0000012199	bta0000020524
hsa0000012202	bta0000020525
hsa0000012203	bta0000020525
hsa0000012220	bta0000038403
hsa0000012221	bta0000038405
hsa0000012225	bta0000038408
hsa0000012230	bta0000038413
hsa0000012231	bta0000039338
hsa0000012232	bta0000039338
hsa0000012284	bta0000021475
hsa0000012395	bta0000137022
hsa0000012396	bta0000137023
hsa0000012405	bta0000136685
hsa0000012420	bta0000214678
hsa0000012422	bta0000214680
hsa0000012423	bta0000214681
hsa0000012425	bta0000214684
hsa0000012429	bta0000214686
hsa0000012430	bta0000214687
hsa0000012433	bta0000214690
hsa0000012439	bta0000214697
hsa0000012468	bta0000143358
hsa0000012486	bta0000143392
hsa0000012492	bta0000143397
hsa0000012495	bta0000143399
hsa0000012498	bta0000143401
hsa0000012500	bta0000143403
hsa0000012505	bta0000038908
hsa0000012509	bta0000038911
hsa0000012511	bta0000038913
hsa0000012513	bta0000038915
hsa0000012516	bta0000038918
hsa0000012520	bta0000038922
hsa0000012526	bta0000038835
hsa0000012527	bta0000038836
hsa0000012531	bta0000038831
hsa0000012532	bta0000038832
hsa0000012535	bta0000035914
hsa0000012545	bta0000035923
hsa0000012546	bta0000035924
hsa0000012547	bta0000035925
hsa0000012549	bta0000035927
hsa0000012550	bta0000035928
hsa0000012551	bta0000035929
hsa0000012552	bta0000035930
hsa0000012553	bta0000035931
hsa0000012556	bta0000035934
hsa0000012557	bta0000035935
hsa0000012558	bta0000035936
hsa0000012560	bta0000035938
hsa0000012561	bta0000035939
hsa0000012562	bta0000035940
hsa0000012563	bta0000035941
hsa0000012564	bta0000035942
hsa0000012565	bta0000035943
hsa0000012567	bta0000035945
hsa0000012568	bta0000035946
hsa0000012569	bta0000035947
hsa0000012570	bta0000035948
hsa0000012572	bta0000035950
hsa0000012574	bta0000035952
hsa0000012575	bta0000035953
hsa0000012577	bta0000035955
hsa0000012578	bta0000035956
hsa0000012582	bta0000035960
hsa0000012583	bta0000035961
hsa0000012584	bta0000035963
hsa0000012586	bta0000035965
hsa0000012587	bta0000035966
hsa0000012589	bta0000035968
hsa0000012591	bta0000035970
hsa0000012592	bta0000035971
hsa0000012593	bta0000035972
hsa0000012594	bta0000035973
hsa0000012596	bta0000035974
hsa0000012597	bta0000035975
hsa0000012599	bta0000035977
hsa0000012599	bta0000035978
hsa0000012601	bta0000035979
hsa0000012602	bta0000035980
hsa0000012604	bta0000035982
hsa0000012607	bta0000035985
hsa0000012608	bta0000035986
hsa0000012611	bta0000035989
hsa0000012612	bta0000035990
hsa0000012613	bta0000035991
hsa0000012614	bta0000035994
hsa0000012615	bta0000035995
hsa0000012616	bta0000035996
hsa0000012617	bta0000035997
hsa0000012630	bta0000037389
hsa0000012657	bta0000037254
hsa0000012659	bta0000037256
hsa0000012660	bta0000037256
hsa0000012677	bta0000037244
hsa0000012678	bta0000037244
hsa0000012678	bta0000037245
hsa0000012679	bta0000037246
hsa0000012707	bta0000037213
hsa0000012708	bta0000037214
hsa0000012711	bta0000037217
hsa0000012714	bta0000037219
hsa0000012717	bta0000037221
hsa0000012718	bta0000037062
hsa0000012729	bta0000037072
hsa0000012730	bta0000037073
hsa0000012736	bta0000037079
hsa0000012772	bta0000032280
hsa0000012773	bta0000032281
hsa0000012774	bta0000032282
hsa0000012777	bta0000032285
hsa0000012778	bta0000032286
hsa0000012781	bta0000032289
hsa0000012788	bta0000033494
hsa0000012789	bta0000033495
hsa0000012793	bta0000033498
hsa0000012794	bta0000033499
hsa0000012797	bta0000033502
hsa0000012798	bta0000033503
hsa0000012799	bta0000033504
hsa0000012802	bta0000034266
hsa0000012804	bta0000034268
hsa0000012806	bta0000034270
hsa0000012808	bta0000034272
hsa0000012809	bta0000034273
hsa0000012810	bta0000034274
hsa0000012811	bta0000034275
hsa0000012813	bta0000034277
hsa0000012814	bta0000034278
hsa0000012815	bta0000034279
hsa0000012816	bta0000034280
hsa0000012823	bta0000034287
hsa0000012827	bta0000034291
hsa0000012841	bta0000033475
hsa0000012842	bta0000033476
hsa0000012844	bta0000033478
hsa0000012845	bta0000033480
hsa0000012848	bta0000033472
hsa0000012849	bta0000033460
hsa0000012851	bta0000033462
hsa0000012852	bta0000033463
hsa0000012853	bta0000033464
hsa0000012855	bta0000033466
hsa0000012856	bta0000033447
hsa0000012858	bta0000033449
hsa0000012859	bta0000033450
hsa0000012860	bta0000033451
hsa0000012861	bta0000033452
hsa0000012865	bta0000033282
hsa0000012868	bta0000033283
hsa0000012871	bta0000033284
hsa0000012872	bta0000033284
hsa0000012875	bta0000020580
hsa0000012897	bta0000032522
hsa0000012898	bta0000032523
hsa0000012899	bta0000032524
hsa0000012900	bta0000032526
hsa0000012901	bta0000032527
hsa0000012902	bta0000032528
hsa0000012904	bta0000032571
hsa0000012912	bta0000035444
hsa0000012914	bta0000035447
hsa0000012915	bta0000035448
hsa0000012916	bta0000035449
hsa0000012917	bta0000035449
hsa0000012918	bta0000035450
hsa0000012919	bta0000035451
hsa0000012920	bta0000142744
hsa0000012921	bta0000142745
hsa0000012922	bta0000142746
hsa0000012923	bta0000142746
hsa0000012924	bta0000142747
hsa0000012925	bta0000142748
hsa0000012926	bta0000142750
hsa0000012944	bta0000138474
hsa0000012968	bta0000138496
hsa0000012975	bta0000141766
hsa0000012978	bta0000141769
hsa0000012979	bta0000141770
hsa0000012980	bta0000141771
hsa0000012981	bta0000141772
hsa0000012982	bta0000141773
hsa0000012988	bta0000141777
hsa0000012990	bta0000141778
hsa0000012991	bta0000141779
hsa0000012992	bta0000141780
hsa0000012993	bta0000141781
hsa0000012994	bta0000141783
hsa0000012997	bta0000141785
hsa0000013004	bta0000141936
hsa0000013008	bta0000141939
hsa0000013011	bta0000141941
hsa0000013014	bta0000141944
hsa0000013017	bta0000141947
hsa0000013036	bta0000141960
hsa0000013099	bta0000142104
hsa0000013101	bta0000142105
hsa0000013102	bta0000142106
hsa0000013104	bta0000142109
hsa0000013106	bta0000142111
hsa0000013110	bta0000037616
hsa0000013136	bta0000020317
hsa0000013137	bta0000020317
hsa0000013140	bta0000020318
hsa0000013147	bta0000022611
hsa0000013148	bta0000022612
hsa0000013150	bta0000022613
hsa0000013151	bta0000022614
hsa0000013153	bta0000022615
hsa0000013155	bta0000022616
hsa0000013156	bta0000022617
hsa0000013157	bta0000022619
hsa0000013158	bta0000022619
hsa0000013159	bta0000022621
hsa0000013160	bta0000022610
hsa0000013162	bta0000022603
hsa0000013164	bta0000022604
hsa0000013165	bta0000022604
hsa0000013167	bta0000022605
hsa0000013171	bta0000022597
hsa0000013173	bta0000022599
hsa0000013174	bta0000022600
hsa0000013176	bta0000022601
hsa0000013178	bta0000022602
hsa0000013193	bta0000023301
hsa0000013194	bta0000023302
hsa0000013197	bta0000021604
hsa0000013202	bta0000021608
hsa0000013209	bta0000021199
hsa0000013210	bta0000021200
hsa0000013211	bta0000021201
hsa0000013214	bta0000021203
hsa0000013215	bta0000021204
hsa0000013216	bta0000021205
hsa0000013219	bta0000021210
hsa0000013220	bta0000021211
hsa0000013221	bta0000021213
hsa0000013221	bta0000021212
hsa0000013222	bta0000021213
hsa0000013222	bta0000021212
hsa0000013224	bta0000020701
hsa0000013253	bta0000140381
hsa0000013260	bta0000027294
hsa0000013261	bta0000027295
hsa0000013263	bta0000027296
hsa0000013264	bta0000027297
hsa0000013265	bta0000027298
hsa0000013266	bta0000027299
hsa0000013272	bta0000027275
hsa0000013274	bta0000027277
hsa0000013276	bta0000027279
hsa0000013279	bta0000027282
hsa0000013281	bta0000027284
hsa0000013282	bta0000027285
hsa0000013284	bta0000027287
hsa0000013315	bta0000024180
hsa0000013319	bta0000024169
hsa0000013336	bta0000020842
hsa0000013337	bta0000020842
hsa0000013339	bta0000020844
hsa0000013342	bta0000020847
hsa0000013343	bta0000020849
hsa0000013349	bta0000020855
hsa0000013350	bta0000020858
hsa0000013363	bta0000142817
hsa0000013365	bta0000142819
hsa0000013367	bta0000142820
hsa0000013369	bta0000142822
hsa0000013370	bta0000142823
hsa0000013371	bta0000142824
hsa0000013372	bta0000142825
hsa0000013373	bta0000142826
hsa0000013374	bta0000142827
hsa0000013377	bta0000142830
hsa0000013381	bta0000142832
hsa0000013386	bta0000142835
hsa0000013387	bta0000142836
hsa0000013389	bta0000142840
hsa0000013391	bta0000142875
hsa0000013418	bta0000031945
hsa0000013419	bta0000031946
hsa0000013420	bta0000031947
hsa0000013423	bta0000031950
hsa0000013424	bta0000031951
hsa0000013425	bta0000031952
hsa0000013427	bta0000031954
hsa0000013430	bta0000031957
hsa0000013431	bta0000031958
hsa0000013434	bta0000031961
hsa0000013438	bta0000031964
hsa0000013441	bta0000031967
hsa0000013443	bta0000031969
hsa0000013445	bta0000031971
hsa0000013450	bta0000031976
hsa0000013454	bta0000031980
hsa0000013455	bta0000031981
hsa0000013457	bta0000031983
hsa0000013459	bta0000031985
hsa0000013460	bta0000031986
hsa0000013461	bta0000031987
hsa0000013462	bta0000031988
hsa0000013464	bta0000031990
hsa0000013466	bta0000031992
hsa0000013469	bta0000030724
hsa0000013469	bta0000030725
hsa0000013470	bta0000030726
hsa0000013472	bta0000030727
hsa0000013473	bta0000030727
hsa0000013479	bta0000030728
hsa0000013480	bta0000030729
hsa0000013481	bta0000030730
hsa0000013481	bta0000030729
hsa0000013482	bta0000030731
hsa0000013485	bta0000030734
hsa0000013486	bta0000030735
hsa0000013487	bta0000030736
hsa0000013488	bta0000030737
hsa0000013489	bta0000030738
hsa0000013490	bta0000030739
hsa0000013496	bta0000142274
hsa0000013500	bta0000142279
hsa0000013501	bta0000033658
hsa0000013502	bta0000033659
hsa0000013504	bta0000033660
hsa0000013505	bta0000033661
hsa0000013506	bta0000033662
hsa0000013507	bta0000033663
hsa0000013508	bta0000033664
hsa0000013509	bta0000033665
hsa0000013510	bta0000033666
hsa0000013511	bta0000033667
hsa0000013512	bta0000033668
hsa0000013513	bta0000033669
hsa0000013514	bta0000033670
hsa0000013515	bta0000033671
hsa0000013519	bta0000033674
hsa0000013520	bta0000033675
hsa0000013521	bta0000033676
hsa0000013522	bta0000033677
hsa0000013524	bta0000033679
hsa0000013525	bta0000033680
hsa0000013526	bta0000033681
hsa0000013528	bta0000033683
hsa0000013530	bta0000033685
hsa0000013531	bta0000033686
hsa0000013532	bta0000033687
hsa0000013534	bta0000033689
hsa0000013535	bta0000033690
hsa0000013536	bta0000032579
hsa0000013537	bta0000032581
hsa0000013539	bta0000032583
hsa0000013541	bta0000032585
hsa0000013542	bta0000032586
hsa0000013545	bta0000032588
hsa0000013546	bta0000032589
hsa0000013547	bta0000032590
hsa0000013548	bta0000032591
hsa0000013549	bta0000032592
hsa0000013550	bta0000032593
hsa0000013551	bta0000032594
hsa0000013552	bta0000032595
hsa0000013553	bta0000032596
hsa0000013554	bta0000032597
hsa0000013556	bta0000032600
hsa0000013557	bta0000143427
hsa0000013558	bta0000143428
hsa0000013559	bta0000143428
hsa0000013559	bta0000143429
hsa0000013560	bta0000143430
hsa0000013561	bta0000143431
hsa0000013562	bta0000143432
hsa0000013564	bta0000143434
hsa0000013567	bta0000143437
hsa0000013568	bta0000143438
hsa0000013570	bta0000143440
hsa0000013572	bta0000143442
hsa0000013574	bta0000143443
hsa0000013575	bta0000143444
hsa0000013578	bta0000143446
hsa0000013579	bta0000143446
hsa0000013581	bta0000143448
hsa0000013582	bta0000143449
hsa0000013583	bta0000143450
hsa0000013584	bta0000143451
hsa0000013585	bta0000143452
hsa0000013589	bta0000143456
hsa0000013589	bta0000143457
hsa0000013590	bta0000143457
hsa0000013591	bta0000143458
hsa0000013593	bta0000143459
hsa0000013594	bta0000143460
hsa0000013595	bta0000143461
hsa0000013596	bta0000143462
hsa0000013597	bta0000143462
hsa0000013598	bta0000143463
hsa0000013599	bta0000143464
hsa0000013600	bta0000143465
hsa0000013623	bta0000034173
hsa0000013624	bta0000034173
hsa0000013626	bta0000034174
hsa0000013627	bta0000034175
hsa0000013633	bta0000034178
hsa0000013635	bta0000034181
hsa0000013637	bta0000034183
hsa0000013642	bta0000034188
hsa0000013643	bta0000034189
hsa0000013644	bta0000034190
hsa0000013647	bta0000037681
hsa0000013650	bta0000037682
hsa0000013651	bta0000037682
hsa0000013653	bta0000037683
hsa0000013655	bta0000037684
hsa0000013657	bta0000037687
hsa0000013658	bta0000037688
hsa0000013659	bta0000037689
hsa0000013693	bta0000031515
hsa0000013695	bta0000031518
hsa0000013699	bta0000031519
hsa0000013700	bta0000031520
hsa0000013701	bta0000031521
hsa0000013702	bta0000031522
hsa0000013703	bta0000031523
hsa0000013704	bta0000031524
hsa0000013706	bta0000031526
hsa0000013707	bta0000031527
hsa0000013708	bta0000031528
hsa0000013709	bta0000031529
hsa0000013710	bta0000031530
hsa0000013711	bta0000031531
hsa0000013712	bta0000031532
hsa0000013713	bta0000031533
hsa0000013716	bta0000031536
hsa0000013718	bta0000031538
hsa0000013719	bta0000031539
hsa0000013720	bta0000031540
hsa0000013722	bta0000031542
hsa0000013723	bta0000031543
hsa0000013724	bta0000031544
hsa0000013725	bta0000031545
hsa0000013726	bta0000031546
hsa0000013727	bta0000031547
hsa0000013729	bta0000035596
hsa0000013730	bta0000035597
hsa0000013731	bta0000035598
hsa0000013733	bta0000035600
hsa0000013734	bta0000035601
hsa0000013736	bta0000035603
hsa0000013737	bta0000035604
hsa0000013739	bta0000035606
hsa0000013742	bta0000035608
hsa0000013743	bta0000035609
hsa0000013746	bta0000035610
hsa0000013747	bta0000035611
hsa0000013748	bta0000035612
hsa0000013753	bta0000035617
hsa0000013754	bta0000035618
hsa0000013760	bta0000035622
hsa0000013761	bta0000035622
hsa0000013763	bta0000035623
hsa0000013766	bta0000035627
hsa0000013767	bta0000035628
hsa0000013769	bta0000035629
hsa0000013770	bta0000035630
