mouse_exon1	mouse_exon2	human_exon1	human_exon2	human_coord1	human_coord2	identity1	identity2	avg_identity
chr6:97163624:97163677:-1	chr8:105252912:105253021:-1	ENSE00003688550	ENSE00003669652	chr3:69057256:69057309:-1	chr16:66821450:66821559:-1	0.94	0.91	0.925
chr6:97163624:97163677:-1	chr8:105250208:105250270:-1	ENSE00003688550	ENSE00003604154	chr3:69057256:69057309:-1	chr16:66817425:66817487:-1	0.94	0.95	0.945
chr6:97163624:97163677:-1	chr8:105243280:105243366:-1	ENSE00003688550	ENSE00001046603	chr3:69057256:69057309:-1	chr16:66808989:66809075:-1	0.94	0.93	0.935
chr6:97163624:97163677:-1	chr8:105244820:105244895:-1	ENSE00003688550	ENSE00001139952	chr3:69057256:69057309:-1	chr16:66810697:66810772:-1	0.94	0.88	0.9099999999999999
chr6:97163624:97163677:-1	chr8:105242761:105242853:-1	ENSE00003688550	ENSE00001046627	chr3:69057256:69057309:-1	chr16:66808521:66808613:-1	0.94	0.87	0.905
chr6:97163624:97163677:-1	chr8:105250967:105251076:-1	ENSE00003688550	ENSE00003566559	chr3:69057256:69057309:-1	chr16:66818528:66818637:-1	0.94	0.95	0.945
chr6:97163624:97163677:-1	chr8:105239973:105240087:-1	ENSE00003688550	ENSE00001104192	chr3:69057256:69057309:-1	chr16:66805912:66806026:-1	0.94	0.93	0.935
chr6:97163624:97163677:-1	chr8:105246177:105246310:-1	ENSE00003688550	ENSE00001139961	chr3:69057256:69057309:-1	chr16:66813564:66813697:-1	0.94	0.92	0.9299999999999999
chr6:97176200:97176282:-1	chr8:105252912:105253021:-1	ENSE00001376644	ENSE00003669652	chr3:69071535:69071617:-1	chr16:66821450:66821559:-1	0.94	0.91	0.925
chr6:97176200:97176282:-1	chr8:105250208:105250270:-1	ENSE00001376644	ENSE00003604154	chr3:69071535:69071617:-1	chr16:66817425:66817487:-1	0.94	0.95	0.945
chr6:97176200:97176282:-1	chr8:105243280:105243366:-1	ENSE00001376644	ENSE00001046603	chr3:69071535:69071617:-1	chr16:66808989:66809075:-1	0.94	0.93	0.935
chr6:97176200:97176282:-1	chr8:105242761:105242853:-1	ENSE00001376644	ENSE00001046627	chr3:69071535:69071617:-1	chr16:66808521:66808613:-1	0.94	0.87	0.905
chr6:97176200:97176282:-1	chr8:105250967:105251076:-1	ENSE00001376644	ENSE00003566559	chr3:69071535:69071617:-1	chr16:66818528:66818637:-1	0.94	0.95	0.945
chr6:97176200:97176282:-1	chr8:105239973:105240087:-1	ENSE00001376644	ENSE00001104192	chr3:69071535:69071617:-1	chr16:66805912:66806026:-1	0.94	0.93	0.935
chr6:97176200:97176282:-1	chr8:105246177:105246310:-1	ENSE00001376644	ENSE00001139961	chr3:69071535:69071617:-1	chr16:66813564:66813697:-1	0.94	0.92	0.9299999999999999
chr10:83453211:83453293:-1	chr14:26671399:26671587:-1	ENSE00003631122	ENSE00003656992	chr12:105203703:105203785:-1	chr3:57249360:57249548:1	0.84	0.95	0.895
chr6:97178878:97178958:-1	chr8:105254819:105254849:-1	ENSE00003489907	ENSE00003554100	chr3:69075430:69075510:-1	chr16:66824855:66824885:-1	0.96	0.87	0.915
chr6:97178878:97178958:-1	chr8:105254010:105254081:-1	ENSE00003489907	ENSE00003519507	chr3:69075430:69075510:-1	chr16:66823529:66823600:-1	0.96	0.97	0.965
chr6:97178878:97178958:-1	chr8:105252912:105253021:-1	ENSE00003489907	ENSE00003669652	chr3:69075430:69075510:-1	chr16:66821450:66821559:-1	0.96	0.91	0.935
chr6:97178878:97178958:-1	chr8:105256688:105256748:-1	ENSE00003489907	ENSE00003523215	chr3:69075430:69075510:-1	chr16:66826523:66826583:-1	0.96	0.95	0.955
chr6:97178878:97178958:-1	chr8:105243280:105243366:-1	ENSE00003489907	ENSE00001046603	chr3:69075430:69075510:-1	chr16:66808989:66809075:-1	0.96	0.93	0.9450000000000001
chr6:97178878:97178958:-1	chr8:105244820:105244895:-1	ENSE00003489907	ENSE00001139952	chr3:69075430:69075510:-1	chr16:66810697:66810772:-1	0.96	0.88	0.9199999999999999
chr6:97178878:97178958:-1	chr8:105242761:105242853:-1	ENSE00003489907	ENSE00001046627	chr3:69075430:69075510:-1	chr16:66808521:66808613:-1	0.96	0.87	0.915
chr6:97178878:97178958:-1	chr8:105250967:105251076:-1	ENSE00003489907	ENSE00003566559	chr3:69075430:69075510:-1	chr16:66818528:66818637:-1	0.96	0.95	0.955
chr6:97178878:97178958:-1	chr8:105239973:105240087:-1	ENSE00003489907	ENSE00001104192	chr3:69075430:69075510:-1	chr16:66805912:66806026:-1	0.96	0.93	0.9450000000000001
chr6:97178878:97178958:-1	chr8:105246177:105246310:-1	ENSE00003489907	ENSE00001139961	chr3:69075430:69075510:-1	chr16:66813564:66813697:-1	0.96	0.92	0.94
chr8:95396949:95397055:1	chr19:6187760:6187870:-1	ENSE00000685157	ENSE00003539756	chr16:57248537:57248643:1	chr11:65018364:65018474:1	0.92	0.89	0.905
chr8:95396949:95397055:1	chr19:6187508:6187670:-1	ENSE00000685157	ENSE00003528028	chr16:57248537:57248643:1	chr11:65018571:65018733:1	0.92	0.93	0.925
chr11:79919974:79920172:1	chr7:89616921:89617012:-1	ENSE00003664776	ENSE00003657568	chr17:31995564:31995762:1	chr11:86264172:86264263:1	0.91	0.91	0.91
chr11:79919974:79920172:1	chr7:89611464:89611569:-1	ENSE00003664776	ENSE00003652990	chr17:31995564:31995762:1	chr11:86268456:86268561:1	0.91	0.96	0.935
chr11:79919974:79920172:1	chr7:89613937:89614070:-1	ENSE00003664776	ENSE00003623983	chr17:31995564:31995762:1	chr11:86266083:86266216:1	0.91	0.94	0.925
chr11:79919974:79920172:1	chr7:89605463:89605621:-1	ENSE00003664776	ENSE00003494253	chr17:31995564:31995762:1	chr11:86276980:86277138:1	0.91	0.97	0.94
	chr5:90620320:90620543:1	ENSE00003579012	ENSE00003579711	chr19:49524507:49524776:1	chr4:73418088:73418311:1	0.0	0.79	0.395
		ENSE00003579012	ENSE00003543612	chr19:49524507:49524776:1	chr4:73419507:73419639:1	0.0	0.0	0.0
	chr5:90619864:90620002:1	ENSE00003579012	ENSE00003496168	chr19:49524507:49524776:1	chr4:73417531:73417669:1	0.0	0.8	0.4
	chr5:90620320:90620543:1	ENSE00003572960	ENSE00003579711	chr19:49514211:49514486:1	chr4:73418088:73418311:1	0.0	0.79	0.395
		ENSE00003572960	ENSE00003543612	chr19:49514211:49514486:1	chr4:73419507:73419639:1	0.0	0.0	0.0
	chr5:90619864:90620002:1	ENSE00003572960	ENSE00003496168	chr19:49514211:49514486:1	chr4:73417531:73417669:1	0.0	0.8	0.4
	chr5:90620320:90620543:1	ENSE00003487124	ENSE00003579711	chr19:49513882:49514133:1	chr4:73418088:73418311:1	0.0	0.79	0.395
		ENSE00003487124	ENSE00003543612	chr19:49513882:49514133:1	chr4:73419507:73419639:1	0.0	0.0	0.0
	chr5:90619864:90620002:1	ENSE00003487124	ENSE00003496168	chr19:49513882:49514133:1	chr4:73417531:73417669:1	0.0	0.8	0.4
chr10:83464093:83464164:-1	chr14:26671399:26671587:-1	ENSE00003527948	ENSE00003656992	chr12:105217069:105217140:-1	chr3:57249360:57249548:1	0.9	0.95	0.925
chr13:91687454:91687515:1	chr19:46022828:46022951:-1	ENSE00003658672	ENSE00000987604	chr5:81636557:81636618:-1	chr10:102109384:102109507:-1	0.95	0.91	0.9299999999999999
chr13:91687454:91687515:1	chr19:46023050:46023133:-1	ENSE00003658672	ENSE00000987603	chr5:81636557:81636618:-1	chr10:102109600:102109683:-1	0.95	0.94	0.945
chr13:91687454:91687515:1	chr19:46023860:46024032:-1	ENSE00003658672	ENSE00000987601	chr5:81636557:81636618:-1	chr10:102110529:102110701:-1	0.95	0.93	0.94
chr13:91687454:91687515:1	chr19:46024174:46024276:-1	ENSE00003658672	ENSE00003568764	chr5:81636557:81636618:-1	chr10:102110869:102110971:-1	0.95	0.94	0.945
chr10:83447314:83447356:-1	chr14:26685604:26685663:-1	ENSE00003550517	ENSE00003599120	chr12:105195585:105195627:-1	chr3:57237492:57237551:1	0.88	0.93	0.905
chr10:83447314:83447356:-1	chr14:26671399:26671587:-1	ENSE00003550517	ENSE00003656992	chr12:105195585:105195627:-1	chr3:57249360:57249548:1	0.88	0.95	0.915
chr9:64882899:64882991:1	chr6:146458749:146458838:-1	ENSE00003660445	ENSE00001593772	chr15:65595733:65595825:-1	chr12:26917352:26917441:-1	0.89	0.91	0.9
chr9:64882899:64882991:1	chr6:146463227:146463355:-1	ENSE00003660445	ENSE00001683532	chr15:65595733:65595825:-1	chr12:26924355:26924483:-1	0.89	0.88	0.885
chr9:64882899:64882991:1	chr6:146461624:146461708:-1	ENSE00003660445	ENSE00001646446	chr15:65595733:65595825:-1	chr12:26922616:26922700:-1	0.89	0.94	0.915
chr9:64882899:64882991:1	chr6:146456426:146456596:-1	ENSE00003660445	ENSE00001710128	chr15:65595733:65595825:-1	chr12:26914408:26914578:-1	0.89	0.92	0.905
chr9:64882899:64882991:1	chr6:146457629:146457807:-1	ENSE00003660445	ENSE00001756219	chr15:65595733:65595825:-1	chr12:26916002:26916180:-1	0.89	0.9	0.895
chr9:64882899:64882991:1	chr6:146467991:146468193:-1	ENSE00003660445	ENSE00003527724	chr15:65595733:65595825:-1	chr12:26928703:26928905:-1	0.89	0.89	0.89
chr9:64889271:64889389:1	chr6:146458749:146458838:-1	ENSE00003523771	ENSE00001593772	chr15:65584770:65584888:-1	chr12:26917352:26917441:-1	0.94	0.91	0.925
chr9:64889271:64889389:1	chr6:146476200:146476274:-1	ENSE00003523771	ENSE00001631630	chr15:65584770:65584888:-1	chr12:26934556:26934630:-1	0.94	0.93	0.935
chr9:64889271:64889389:1	chr6:146463227:146463355:-1	ENSE00003523771	ENSE00001683532	chr15:65584770:65584888:-1	chr12:26924355:26924483:-1	0.94	0.88	0.9099999999999999
chr9:64889271:64889389:1	chr6:146461624:146461708:-1	ENSE00003523771	ENSE00001646446	chr15:65584770:65584888:-1	chr12:26922616:26922700:-1	0.94	0.94	0.94
chr9:64889271:64889389:1	chr6:146456426:146456596:-1	ENSE00003523771	ENSE00001710128	chr15:65584770:65584888:-1	chr12:26914408:26914578:-1	0.94	0.92	0.9299999999999999
chr9:64889271:64889389:1	chr6:146457629:146457807:-1	ENSE00003523771	ENSE00001756219	chr15:65584770:65584888:-1	chr12:26916002:26916180:-1	0.94	0.9	0.9199999999999999
chr9:64889271:64889389:1	chr6:146467991:146468193:-1	ENSE00003523771	ENSE00003527724	chr15:65584770:65584888:-1	chr12:26928703:26928905:-1	0.94	0.89	0.915
chr8:95394225:95394286:1	chr19:6187760:6187870:-1	ENSE00000852885	ENSE00003539756	chr16:57246080:57246141:1	chr11:65018364:65018474:1	0.97	0.89	0.9299999999999999
chr8:95394225:95394286:1	chr19:6187508:6187670:-1	ENSE00000852885	ENSE00003528028	chr16:57246080:57246141:1	chr11:65018571:65018733:1	0.97	0.93	0.95
chr11:120511250:120511330:-1	chr17:32443058:32443196:-1	ENSE00003786718	ENSE00003548258	chr17:81914087:81914167:-1	chr19:15267416:15267551:-1	0.85	0.92	0.885
chr7:28028445:28028475:-1	chr11:87633622:87633677:1	ENSE00003632892	ENSE00003664209	chr19:39459559:39459589:1	chr17:58347529:58347584:-1	0.9	1.0	0.95
chr7:28028445:28028475:-1	chr11:87633884:87633937:1	ENSE00003632892	ENSE00003498022	chr19:39459559:39459589:1	chr17:58347188:58347241:-1	0.9	0.96	0.9299999999999999
chr10:117201986:117202089:-1	chr8:94758930:94759130:-1	ENSE00003583801	ENSE00003474828	chr12:69253051:69253154:1	chr16:56447789:56447989:-1	0.93	0.92	0.925
chr10:117201986:117202089:-1	chr8:94749297:94749517:-1	ENSE00003583801	ENSE00001108677	chr12:69253051:69253154:1	chr16:56434331:56434445:-1	0.93	0.5	0.7150000000000001
chr9:119748715:119748820:1	chr5:146700011:146700224:-1	ENSE00003533175	ENSE00001005467	chr3:39088128:39088233:1	chr13:27105731:27105944:-1	0.87	0.88	0.875
chr9:119748715:119748820:1	chr5:146677104:146677301:-1	ENSE00003533175	ENSE00001005463	chr3:39088128:39088233:1	chr13:27075191:27075388:-1	0.87	0.84	0.855
chr9:119748715:119748820:1	chr5:146691180:146691409:-1	ENSE00003533175	ENSE00001005466	chr3:39088128:39088233:1	chr13:27095601:27095830:-1	0.87	0.88	0.875
chr6:97173798:97173878:-1	chr8:105254819:105254849:-1	ENSE00000966872	ENSE00003554100	chr3:69067928:69068008:-1	chr16:66824855:66824885:-1	0.9	0.87	0.885
chr6:97173798:97173878:-1	chr8:105252912:105253021:-1	ENSE00000966872	ENSE00003669652	chr3:69067928:69068008:-1	chr16:66821450:66821559:-1	0.9	0.91	0.905
chr6:97173798:97173878:-1	chr8:105250208:105250270:-1	ENSE00000966872	ENSE00003604154	chr3:69067928:69068008:-1	chr16:66817425:66817487:-1	0.9	0.95	0.925
chr6:97173798:97173878:-1	chr8:105243280:105243366:-1	ENSE00000966872	ENSE00001046603	chr3:69067928:69068008:-1	chr16:66808989:66809075:-1	0.9	0.93	0.915
chr6:97173798:97173878:-1	chr8:105244820:105244895:-1	ENSE00000966872	ENSE00001139952	chr3:69067928:69068008:-1	chr16:66810697:66810772:-1	0.9	0.88	0.89
chr6:97173798:97173878:-1	chr8:105242761:105242853:-1	ENSE00000966872	ENSE00001046627	chr3:69067928:69068008:-1	chr16:66808521:66808613:-1	0.9	0.87	0.885
chr6:97173798:97173878:-1	chr8:105250967:105251076:-1	ENSE00000966872	ENSE00003566559	chr3:69067928:69068008:-1	chr16:66818528:66818637:-1	0.9	0.95	0.925
chr6:97173798:97173878:-1	chr8:105239973:105240087:-1	ENSE00000966872	ENSE00001104192	chr3:69067928:69068008:-1	chr16:66805912:66806026:-1	0.9	0.93	0.915
chr6:97173798:97173878:-1	chr8:105246177:105246310:-1	ENSE00000966872	ENSE00001139961	chr3:69067928:69068008:-1	chr16:66813564:66813697:-1	0.9	0.92	0.91
chr18:60910885:60910961:1	chr13:38241113:38241232:1	ENSE00003646432	ENSE00003620506	chr5:150445609:150445685:-1	chr6:7411332:7411451:1	0.91	0.8	0.855
chr18:60910002:60910163:1	chr13:38241113:38241232:1	ENSE00001085690	ENSE00003620506	chr5:150446802:150446963:-1	chr6:7411332:7411451:1	0.93	0.8	0.865
chr18:60910002:60910163:1	chr13:38236245:38236348:1	ENSE00001085690	ENSE00003534695	chr5:150446802:150446963:-1	chr6:7404918:7405021:1	0.93	0.86	0.895
chr1:86475177:86475339:-1	chr5:25013351:25013433:-1	ENSE00003544048	ENSE00003529508	chr2:231739100:231739188:-1	chr7:151477333:151477415:-1	0.53	0.96	0.745
chr1:86475177:86475339:-1	chr5:25018796:25018863:-1	ENSE00003544048	ENSE00003459693	chr2:231739100:231739188:-1	chr7:151484737:151484804:-1	0.53	0.87	0.7
chr1:86474379:86474504:-1	chr5:25013351:25013433:-1	ENSE00001029425	ENSE00003529508	chr2:231738013:231738138:-1	chr7:151477333:151477415:-1	0.94	0.96	0.95
chr1:86474379:86474504:-1	chr5:25018796:25018863:-1	ENSE00001029425	ENSE00003459693	chr2:231738013:231738138:-1	chr7:151484737:151484804:-1	0.94	0.87	0.905
chr9:119749623:119749773:1	chr5:146700011:146700224:-1	ENSE00003508317	ENSE00001005467	chr3:39089231:39089318:1	chr13:27105731:27105944:-1	0.54	0.88	0.71
chr9:119749623:119749773:1	chr5:146677104:146677301:-1	ENSE00003508317	ENSE00001005463	chr3:39089231:39089318:1	chr13:27075191:27075388:-1	0.54	0.84	0.69
chr9:119749623:119749773:1	chr5:146691180:146691409:-1	ENSE00003508317	ENSE00001005466	chr3:39089231:39089318:1	chr13:27095601:27095830:-1	0.54	0.88	0.71
chr1:86473420:86473529:-1	chr5:25013351:25013433:-1	ENSE00003784431	ENSE00003529508	chr2:231737187:231737292:-1	chr7:151477333:151477415:-1	0.89	0.96	0.925
chr1:86473420:86473529:-1	chr5:25018796:25018863:-1	ENSE00003784431	ENSE00003459693	chr2:231737187:231737292:-1	chr7:151484737:151484804:-1	0.89	0.87	0.88
chr1:74634368:74634460:-1	chr18:35932894:35932925:1	ENSE00003661908	ENSE00003690818	chr2:218665155:218665247:-1	chr5:139614586:139614617:1	0.95	0.94	0.945
chr1:74634368:74634460:-1	chr18:35933163:35933268:1	ENSE00003661908	ENSE00003551948	chr2:218665155:218665247:-1	chr5:139614861:139614966:1	0.95	0.98	0.965
chr1:74634368:74634460:-1	chr18:35926518:35926581:1	ENSE00003661908	ENSE00003547850	chr2:218665155:218665247:-1	chr5:139600372:139600435:1	0.95	0.92	0.935
chr1:74634368:74634460:-1	chr18:35933005:35933082:1	ENSE00003661908	ENSE00003504948	chr2:218665155:218665247:-1	chr5:139614697:139614774:1	0.95	0.97	0.96
chr3:137632570:137632703:1	chr3:88458003:88458092:-1	ENSE00003617099	ENSE00003494567	chr4:99885542:99885675:-1	chr1:156057978:156058067:1	0.87	0.91	0.89
chr3:137632570:137632703:1	chr3:107187186:107187247:1	ENSE00003617099	ENSE00003550712	chr4:99885542:99885675:-1	chr1:110406318:110406379:-1	0.87	0.95	0.9099999999999999
chr3:137632570:137632703:1	chr3:88459662:88459824:-1	ENSE00003617099	ENSE00000961270	chr4:99885542:99885675:-1	chr1:156055263:156055425:1	0.87	0.9	0.885
chrX:47795182:47795311:1	chr9:46202993:46203131:1	ENSE00003618046	ENSE00000930680	chrX:130409257:130409386:1	chr11:116758269:116758407:-1	0.91	0.83	0.87
chrX:47795182:47795311:1	chr9:46203746:46203827:1	ENSE00003618046	ENSE00003467669	chrX:130409257:130409386:1	chr11:116757146:116757227:-1	0.91	0.87	0.89
chrX:47795182:47795311:1	chr9:46203364:46203548:1	ENSE00003618046	ENSE00000930681	chrX:130409257:130409386:1	chr11:116757766:116757950:-1	0.91	0.9	0.905
chr5:124709824:124709949:-1	chr5:31347220:31347352:-1	ENSE00003675282	ENSE00003558450	chr12:123622636:123622761:-1	chr2:27367074:27367201:-1	0.9	0.84	0.87
chr17:66164657:66164788:-1	chr1:119411224:119411337:-1	ENSE00000666013	ENSE00003693677	chr18:9525720:9525851:1	chr2:120278618:120278778:1	0.91	0.64	0.775
chr17:66164657:66164788:-1	chr1:119403625:119403802:-1	ENSE00000666013	ENSE00003789771	chr18:9525720:9525851:1	chr2:120289580:120289757:1	0.91	0.85	0.88
chr17:66164657:66164788:-1	chr1:119405645:119405853:-1	ENSE00000666013	ENSE00003512940	chr18:9525720:9525851:1	chr2:120285874:120286082:1	0.91	0.84	0.875
chr6:97180435:97180555:-1	chr8:105243280:105243366:-1	ENSE00003538340	ENSE00001046603	chr3:69077798:69077918:-1	chr16:66808989:66809075:-1	0.98	0.93	0.9550000000000001
chr6:97180435:97180555:-1	chr8:105244820:105244895:-1	ENSE00003538340	ENSE00001139952	chr3:69077798:69077918:-1	chr16:66810697:66810772:-1	0.98	0.88	0.9299999999999999
chr6:97180435:97180555:-1	chr8:105242761:105242853:-1	ENSE00003538340	ENSE00001046627	chr3:69077798:69077918:-1	chr16:66808521:66808613:-1	0.98	0.87	0.925
chr6:97180435:97180555:-1	chr8:105250967:105251076:-1	ENSE00003538340	ENSE00003566559	chr3:69077798:69077918:-1	chr16:66818528:66818637:-1	0.98	0.95	0.965
chr6:97180435:97180555:-1	chr8:105239973:105240087:-1	ENSE00003538340	ENSE00001104192	chr3:69077798:69077918:-1	chr16:66805912:66806026:-1	0.98	0.93	0.9550000000000001
chr6:97180435:97180555:-1	chr8:105246177:105246310:-1	ENSE00003538340	ENSE00001139961	chr3:69077798:69077918:-1	chr16:66813564:66813697:-1	0.98	0.92	0.95
chr17:24696404:24696479:-1	chr2:34325145:34325234:1	ENSE00003611614	ENSE00003481464	chr16:2207035:2207110:1	chr9:125669818:125669907:-1	0.92	0.98	0.95
chr3:135361261:135361359:-1	chr19:5689887:5689978:1	ENSE00003529712	ENSE00003689993	chr4:102537858:102537956:1	chr11:65660124:65660215:-1	0.85	0.88	0.865
chr3:135361261:135361359:-1	chr19:5691209:5691313:1	ENSE00003529712	ENSE00003534265	chr4:102537858:102537956:1	chr11:65658718:65658822:-1	0.85	0.93	0.89
chr3:135361261:135361359:-1	chr19:5691492:5691704:1	ENSE00003529712	ENSE00003649055	chr4:102537858:102537956:1	chr11:65658287:65658499:-1	0.85	0.92	0.885
chr12:85268251:85268414:1	chr5:31348493:31348584:-1	ENSE00000808299	ENSE00000733180	chr14:75004737:75004900:1	chr2:27368372:27368463:-1	0.9	0.9	0.9
chr12:85270155:85270292:1	chr5:31348493:31348584:-1	ENSE00003607351	ENSE00000733180	chr14:75006577:75006714:1	chr2:27368372:27368463:-1	0.84	0.9	0.87
chr6:145179974:145180152:-1	chr17:80740926:80741581:-1	ENSE00001719809	ENSE00000748078	chr12:25227234:25227412:-1	chr2:39022570:39023225:-1	0.98	0.89	0.935
chr6:145179974:145180152:-1	chr17:80721028:80721145:-1	ENSE00001719809	ENSE00003629205	chr12:25227234:25227412:-1	chr2:39006412:39006529:-1	0.98	0.96	0.97
chr6:145179974:145180152:-1	chr1:86474379:86474504:-1	ENSE00001719809	ENSE00001029425	chr12:25227234:25227412:-1	chr2:231738013:231738138:-1	0.98	0.94	0.96
chr6:145179974:145180152:-1	chr1:86473420:86473529:-1	ENSE00001719809	ENSE00003784431	chr12:25227234:25227412:-1	chr2:231737187:231737292:-1	0.98	0.89	0.935
chr8:26054356:26054500:1	chr5:150911858:150912959:1	ENSE00003510418	ENSE00003595954	chr8:38421797:38421941:-1	chr13:33060679:33061780:1	0.94	0.82	0.8799999999999999
chr9:56870280:56870427:1	chr11:97058376:97058520:-1	ENSE00001208446	ENSE00003637145	chr15:75617408:75617552:-1	chr17:47674638:47674782:1	0.91	0.96	0.935
chr9:56870280:56870427:1	chr11:97054179:97054340:-1	ENSE00001208446	ENSE00003599520	chr15:75617408:75617552:-1	chr17:47680508:47680669:1	0.91	0.93	0.92
chr9:56870280:56870427:1	chr11:97055779:97055922:-1	ENSE00001208446	ENSE00003475408	chr15:75617408:75617552:-1	chr17:47678046:47678189:1	0.91	0.94	0.925
chr9:56870280:56870427:1	chr11:97054740:97054854:-1	ENSE00001208446	ENSE00000924995	chr15:75617408:75617552:-1	chr17:47680020:47680134:1	0.91	0.9	0.905
chr9:56870280:56870427:1	chr11:97055551:97055656:-1	ENSE00001208446	ENSE00000924994	chr15:75617408:75617552:-1	chr17:47678308:47678413:1	0.91	0.93	0.92
chr9:56870280:56870427:1	chr11:97056202:97056309:-1	ENSE00001208446	ENSE00000924992	chr15:75617408:75617552:-1	chr17:47677020:47677127:1	0.91	0.9	0.905
chr9:64873972:64874079:1	chr6:146458749:146458838:-1	ENSE00003542831	ENSE00001593772	chr15:65605129:65605236:-1	chr12:26917352:26917441:-1	0.93	0.91	0.92
chr9:64873972:64874079:1	chr6:146476200:146476274:-1	ENSE00003542831	ENSE00001631630	chr15:65605129:65605236:-1	chr12:26934556:26934630:-1	0.93	0.93	0.93
chr9:64873972:64874079:1	chr6:146463227:146463355:-1	ENSE00003542831	ENSE00001683532	chr15:65605129:65605236:-1	chr12:26924355:26924483:-1	0.93	0.88	0.905
chr9:64873972:64874079:1	chr6:146461624:146461708:-1	ENSE00003542831	ENSE00001646446	chr15:65605129:65605236:-1	chr12:26922616:26922700:-1	0.93	0.94	0.935
chr9:64873972:64874079:1	chr6:146456426:146456596:-1	ENSE00003542831	ENSE00001710128	chr15:65605129:65605236:-1	chr12:26914408:26914578:-1	0.93	0.92	0.925
chr9:64873972:64874079:1	chr6:146457629:146457807:-1	ENSE00003542831	ENSE00001756219	chr15:65605129:65605236:-1	chr12:26916002:26916180:-1	0.93	0.9	0.915
chr9:64873972:64874079:1	chr6:146467991:146468193:-1	ENSE00003542831	ENSE00003527724	chr15:65605129:65605236:-1	chr12:26928703:26928905:-1	0.93	0.89	0.91
chr3:137633108:137633171:1	chr3:107189225:107189342:1	ENSE00003610343	ENSE00003580514	chr4:99884062:99884125:-1	chr1:110403919:110404036:-1	0.92	0.9	0.91
chr3:137633108:137633171:1	chr3:88458003:88458092:-1	ENSE00003610343	ENSE00003494567	chr4:99884062:99884125:-1	chr1:156057978:156058067:1	0.92	0.91	0.915
chr3:137633108:137633171:1	chr3:107187186:107187247:1	ENSE00003610343	ENSE00003550712	chr4:99884062:99884125:-1	chr1:110406318:110406379:-1	0.92	0.95	0.935
chr3:137633108:137633171:1	chr3:88459662:88459824:-1	ENSE00003610343	ENSE00000961270	chr4:99884062:99884125:-1	chr1:156055263:156055425:1	0.92	0.9	0.91
chr17:24696155:24696307:-1	chr2:34325145:34325234:1	ENSE00003616825	ENSE00003481464	chr16:2207193:2207345:1	chr9:125669818:125669907:-1	0.86	0.98	0.9199999999999999
chr10:83456562:83456708:-1	chr14:26672509:26672667:-1	ENSE00003555445	ENSE00003648000	chr12:105207061:105207207:-1	chr3:57248193:57248351:1	0.85	0.88	0.865
chr10:83456562:83456708:-1	chr14:26671399:26671587:-1	ENSE00003555445	ENSE00003656992	chr12:105207061:105207207:-1	chr3:57249360:57249548:1	0.85	0.95	0.8999999999999999
chr11:115425378:115425509:-1	chr10:82480004:82480139:1	ENSE00003679474	ENSE00003590498	chr17:75181057:75181188:-1	chr12:103982799:103982934:1	0.98	0.84	0.9099999999999999
chr11:115425378:115425509:-1	chr10:82483787:82483912:1	ENSE00003679474	ENSE00003528205	chr17:75181057:75181188:-1	chr12:103985603:103985728:1	0.98	0.86	0.9199999999999999
chr11:115425378:115425509:-1	chr10:82483056:82483227:1	ENSE00003679474	ENSE00003570570	chr17:75181057:75181188:-1	chr12:103984749:103984920:1	0.98	0.85	0.915
chr11:115421172:115421243:-1	chr10:82480004:82480139:1	ENSE00002509829	ENSE00003590498	chr17:75174752:75174823:-1	chr12:103982799:103982934:1	0.93	0.84	0.885
chr11:115421172:115421243:-1	chr10:82483787:82483912:1	ENSE00002509829	ENSE00003528205	chr17:75174752:75174823:-1	chr12:103985603:103985728:1	0.93	0.86	0.895
chr11:115421172:115421243:-1	chr10:82483056:82483227:1	ENSE00002509829	ENSE00003570570	chr17:75174752:75174823:-1	chr12:103984749:103984920:1	0.93	0.85	0.89
chr11:120511473:120511709:-1	chr17:32443058:32443196:-1	ENSE00003615579	ENSE00003548258	chr17:81914294:81914530:-1	chr19:15267416:15267551:-1	0.89	0.92	0.905
chr11:120511473:120511709:-1	chr17:32444550:32444687:-1	ENSE00003615579	ENSE00003494168	chr17:81914294:81914530:-1	chr19:15268905:15269042:-1	0.89	0.97	0.9299999999999999
chr3:137625682:137625716:1	chr3:107189225:107189342:1	ENSE00003678182	ENSE00003580514	chr4:99892000:99892034:-1	chr1:110403919:110404036:-1	0.89	0.9	0.895
chr4:133411746:133411876:-1	chr11:99110046:99110217:-1	ENSE00003552035	ENSE00003612347	chr1:26775577:26775707:1	chr17:40635931:40636102:-1	0.92	0.93	0.925
chr17:66165968:66166129:-1	chr1:119411224:119411337:-1	ENSE00001187743	ENSE00003693677	chr18:9524594:9524755:1	chr2:120278618:120278778:1	0.89	0.64	0.765
chr17:66165968:66166129:-1	chr1:119403625:119403802:-1	ENSE00001187743	ENSE00003789771	chr18:9524594:9524755:1	chr2:120289580:120289757:1	0.89	0.85	0.87
chr17:66165968:66166129:-1	chr1:119405645:119405853:-1	ENSE00001187743	ENSE00003512940	chr18:9524594:9524755:1	chr2:120285874:120286082:1	0.89	0.84	0.865
chr10:41362368:41362467:1	chr12:3314689:3314749:-1	ENSE00003629445	ENSE00003494350	chr6:109444896:109444995:-1	chr2:26098662:26098722:1	0.84	0.95	0.895
