human_uniprot	cattle_uniprot
Q8NE18	F1MME5
P22736	Q0V8F0
Q6ZVH7	G3MXK5
Q96II8	E1BGP1
Q86U44	F1MX80
Q08357	F1N4U1
Q10472	Q07537
O60506	F1MCT8
Q9HAK2	Q08DL5
O43390	A0A3Q1NB36
O60294	G3N0F1
Q15723	F1N599
Q5T4B2	A7MB73
Q9UJP4	F1MEK2
Q9BWU0	F1MR50
Q9NY91	E1BLB0
Q9H9F9	G3N1W1
O43292	Q3T0N7
P51654	Q3ZBZ6
Q9NSD9	A8E4P2
Q969N2	F1N4W0
P54802	A0A3Q1LN81
Q5T2T1	A6QQZ7
Q9NVH0	E1BEQ0
Q96GW9	A6H7E1
Q17RM4	E1B709
Q9NP73	F6QS46
O00219	A0A3Q1LP80
Q9BQW3	A0A3Q1M4G4
O95905	Q2KI67
Q8WX92	G5E5S2
Q96MP5	F1MTI1
O95876	E1B8R8
Q9BVJ6	Q3T0Q8
Q5JTW2	A0A3Q1MR63
Q8WTU2	F1MCI4
Q9ULJ3	A2VDQ3
Q6ZMY3	F1MG39
Q8NHY3	E1BHS6
Q8IWN7	E1BN32
Q9NRW7	F1MDA6
P11171	Q9N179
Q9P2U7	A4FV52
Q86T24	A5D7M1
Q9HD45	E1BMF1
P22557	Q3ZC31
Q96MU7	F1MIW9
Q96N96	F1N657
Q8WXF7	Q58D72
O95741	Q2KHY1
Q9UNH5	E1BLR2
Q96CW9	A5PKI5
Q8N695	C8KIL7
Q8IXT1	E1BCV2
Q9P242	F1MJF0
Q96SK2	E1BBC2
Q7Z5L7	E1BHH6
P36915	A5PJR9
Q96NU1	A0A3Q1N0U3
Q8TE04	E1BCR9
Q6PCD5	F1MAV6
Q8N187	Q58CW6
Q9Y2E8	F1MWW1
Q9P2G4	A3KMW7
Q13368	E1BGZ5
Q9UNQ0	B2D1N9
Q9UNQ0	Q4GZT4
Q9NP91	A1A4L2
Q9UJX3	E1BM34
Q9BSK4	Q29RM5
Q04756	E1BCW0
Q9NUX5	E1BGK3
Q86U38	A5D7H7
Q96K78	A4IFD4
Q9HC62	E1BAI5
Q99549	F1MQK9
P06241	A0JNB0
Q9H089	A0A3Q1MV30
P08236	A3KMY8
P31939	Q0VCK0
Q8WU66	F1MRC9
P04839	O46522
Q9NR30	F6QHI8
Q8NEC7	A5PKL6
Q9UJY4	F1MKY0
P10398	A0A452DI16
Q14114	A0A3Q1LQW3
P17405	Q0VD19
A8MX76	F1MB09
P08243	Q1LZA3
Q16538	Q0VD40
P05160	Q2TBQ1
Q9BUJ2	A0A3Q1LP65
O14924	A0A3Q1MTC8
Q9Y5S1	Q5EA32
Q15569	A0A3Q1MET9
O95402	A5PK23
Q16518	A0A140T8B8
P20393	Q08E02
Q8IWZ8	A4FV64
O60504	A0A3Q1M0U3
Q96EP1	E1BBP0
Q7L4E1	Q1JPG0
Q12778	E1BPQ1
Q5FYB1	E1BIN3
Q86XJ1	F1MIY4
Q8IWY8	E1B8Q5
Q93075	F1MN15
Q8IUC8	Q08DM9
Q9Y5X1	F1N6W6
Q92696	Q5EA80
Q6UUV7	F1N1Z3
Q86SR1	A0A3Q1MQ00
P00367	P00366
Q9NVR5	Q0VC73
P03951	Q5NTB3
Q2M3G4	A7E301
P08240	Q3MHE8
Q53HC5	A0A3Q1M4K8
P20794	E1BDG4
O00391	A0A3Q1N9Y5
Q9Y6R0	F1MN40
O60662	A4FV78
A6NGR9	F1N2L5
P23368	A0A3Q1MWG7
Q9UKN5	E1BDK1
P13667	Q29RV1
Q8N8Z6	A0A3Q1N083
Q8NE63	E1BB49
Q13490	G3X822
Q6NUN0	A0A3Q1ML05
Q7Z3K6	F1ML55
Q969H4	E1B9A8
Q8NHQ9	F1MW45
Q8NFG4	Q3B7L5
Q9NWM0	E1B7M5
Q6Q0C0	Q5EA56
Q9UKG9	O19094
Q9NZN8	A0A3Q1M5L7
Q8NFF2	F1MD60
Q86V87	A0A3Q1M388
P37088	P55270
Q9H1C4	E1BBH4
Q9Y4W2	A6QP94
Q96N16	A6QR54
Q6NUN7	E1BCK3
Q9H9T3	Q2KJ61
Q6NUN9	Q3B7M4
Q9HC96	F1MBN8
Q5T0N5	F1MSM9
Q15046	F1MMK8
Q32MK0	E1BMP3
O75159	F1MWV6
Q8NE62	E1BES2
Q86XN7	F1N1R1
Q96BF6	E1BMR0
Q96JW4	E1BG51
Q8TB73	F6QPI1
Q8NDZ2	F1MI51
Q96MT8	E1BDP9
Q8N392	F1MJH8
Q2Q1W2	A0A452DJ29
Q9H8W5	Q5BIM1
O15530	F1MQJ7
P16278	Q58D55
P32189	Q0IID9
Q9Y253	F1MZ79
Q53ET0	Q08E26
O14678	F1N3B4
Q5VTQ0	F1MTS9
Q01959	F1MAX1
Q96QG7	A7MB43
Q9H9P5	M5FKI3
Q86YP4	A0A3S5ZPD8
O15371	Q3T122
Q93052	E1BMD6
P51511	F1MHG1
Q96FN4	F1MS45
O00534	F1N0E6
Q8N302	F1MKY1
Q9H0J9	E1B7S1
P49418	A0A3Q1ML18
Q6IC98	A0A3Q1MA68
P53814	A0A3Q1MVI3
Q9P2K5	A0A3Q1LY89
Q6UWJ1	A5D7N7
O00425	F1MPB2
P31152	F1MVV5
O75604	Q2KHV7
A2RU67	F1N5E1
Q5VZ46	F1N729
O43310	E1BGJ9
P09172	E1BF17
P09172	P15101
Q8TC92	F1N0M8
Q9ULV1	F1MLJ8
Q9GZS0	E1BPM9
Q8NA82	E1BFD3
Q2TBA0	A6H7I0
Q5VV42	A0A3Q1MJ38
Q1MX18	F1MSC0
Q6TFL4	E1BKJ8
Q86T96	E1BMC5
Q96G46	A0A3Q1M942
P35680	F1MK03
Q8WV41	E1BHK6
Q6UXI7	A0A3Q1LIX3
A8K979	E1BJE4
Q8N4V2	Q1JP63
O60941	A0A3Q1LM73
Q8IYM0	E1BBQ1
Q8WWT9	A1A4I3
P10515	F1N690
O95628	A0A3Q1N546
Q9Y692	F1MIK7
P49756	E1BHM5
Q7L9B9	Q3MHJ7
Q86TU7	F6R2J7
A0AVF1	F1MF33
Q96IF1	E1BKA3
P0C7M7	G3N2S1
O43776	F1MKH6
P78348	F1MTH0
Q9NZN4	Q2KJ47
Q2TB18	A0A3Q1LUG8
Q96C34	F1MX90
Q96ED9	E1BI15
Q96NI6	A0A3Q1N6H4
Q8ND61	G3MWL0
Q9BZR9	E1BJC6
Q5TKA1	F1MIQ3
Q9NVH1	Q2NL21
Q9Y2P5	A6QM10
Q9H6W3	A5PK74
Q9P0J1	P35816
Q13322	A0A3Q1LNN8
P40238	F1MX79
P00734	A0A452DI66
P00734	P00735
Q13114	E1BBH2
Q676U5	E1BGS8
P36894	F1MCE7
P36871	Q08DP0
P03952	Q2KJ63
P43004	A0A3Q1MR13
Q96N76	A0A3Q1LXH7
Q8N370	Q0VCM6
Q8TE85	A0A3Q1LH90
Q13470	E1BD38
Q8NCS7	F1N5M4
Q86YJ7	A0A3Q1MEC6
P13056	F1N0I2
Q5JS13	A0A3Q1LN62
Q8N5V2	Q08DA6
A8MQ27	F1MPM5
Q53FZ2	F1MES1
Q9Y4X5	A2VEA3
P48380	F1MW17
Q9NVE4	E1BE87
Q504Y0	Q08E40
Q9Y2E6	F1MFB5
Q8NG48	E1BNP0
Q14195	A7MBI5
Q14449	F1MBA2
Q9Y289	F1MN65
Q92959	F1MQ45
P54646	F1MQV7
Q9BSW2	E1BER4
Q9NVP1	F1N533
Q8TDF5	E1BGQ7
Q96ME7	A4FV61
O43865	F1MWH2
Q8N428	A6QLD9
Q9NUL3	G5E523
O15297	E1BD03
Q13409	Q0III3
Q9NQ89	Q0P5L9
Q96S59	A0A3Q1MPB6
Q8N6G5	E1B7B3
P51693	F1MIL3
Q7LFX5	E1BFV8
O95208	A0A3Q1MSK9
Q6ZUM4	F1MMB0
Q8NDN9	E1BKF7
Q8WVV9	F1N7G0
Q96MM7	A0A3Q1LS54
Q8IV77	F1MM42
Q13489	Q3SYW8
P41182	E1B8E6
P13674	Q1RMU3
B2RC85	F1N5C9
P0C881	F1N5C9
Q9UPT9	P0C8Z3
A6PVC2	G3N0U5
Q9Y463	A0A3S5ZPM9
Q96PX8	F1MJJ9
O15455	Q5TJ59
O43182	F1N6V1
O43900	F6QKQ1
Q9H7D7	Q2TBM8
Q969Y0	A2VDP6
Q6ZRP7	E1BBS6
O60721	Q28139
O60721	A0A3Q1M073
O95202	F1N3R4
O14773	A0A3Q1N178
O14773	Q0V8B6
Q96AE4	A0A3Q1LM31
P48163	F1N3V0
Q9Y3L3	E1BL56
Q96NJ5	A0A3Q1M0M0
O95302	Q2KJC8
Q9NZW5	A0A3Q1MDB5
Q9Y6I4	A0A3Q1N5C0
Q92935	A0A3Q1MC47
Q15714	F1N4X3
P26374	F1N2I0
P23443	Q6TJY3
P23443	F1MNP4
Q13555	A0A3Q1M066
O75081	A0A3Q1LYI7
Q9UN79	E1BL97
Q9NZB8	Q1JQD7
Q9BVL4	A0A3Q1LM14
O15213	Q5EA82
P51512	F1N797
Q14123	A0A3Q1MCV4
O60583	A0A3Q1MA24
Q6ZQN7	F1N3T5
Q6UXK2	F1N7G4
Q6UWM7	E1B708
Q5T160	Q0P5H7
Q9Y6K8	A4IFD0
Q6PJG9	F1MJL8
Q9NU02	E1B993
Q9NVR7	F1MYH4
Q96MW5	F1N5R4
Q9GZU1	G3MY82
Q96CM8	Q17QJ1
Q13705	Q95126
Q9NZ52	A0A3Q1N3P7
Q86XD8	E1BLQ7
P18887	F1N2F9
Q96S53	F1N4J5
O00337	A0A3Q1LFZ9
Q7Z739	A0A3Q1MIT1
O43506	F1MJM3
Q8IYL2	E1BAA5
Q8TBZ3	A0A3Q1LJN3
Q96FL9	A0A3Q1LM69
Q9H2B4	E1BDR3
P12931	E1BIM8
Q66K64	Q3SZD5
P14373	Q1LZA9
Q14168	E1BL68
Q16880	A4IFB0
P50990	Q3ZCI9
Q9NWL6	Q0V8E4
O43663	Q2T9P1
Q8IXI1	Q5E9M9
P07947	A7MB57
Q9Y2R4	A5D7C1
Q9Y3Q7	F1MJ60
P21589	Q05927
Q9BX79	Q0V8E7
Q8TDW4	A3KN28
P27037	Q28043
Q14159	A0A3Q1M1Z9
P51957	A6QQ15
Q8NC67	F1N590
Q5SNT2	A0A3Q1M2U8
Q9Y2L9	F1MDS5
Q6P1J9	E1BPQ8
Q8NBN3	A4FV22
Q86W28	E1BL33
Q92541	F1N6E9
P48382	E1BGG6
P0C7U0	G5E6T3
Q9NVN8	Q3T0J9
Q8WY07	F1MUG8
Q32NB8	Q2KJ28
Q96F45	G3X749
Q6NV75	F1MBV0
O14531	A2VDS7
O75487	F1MCX1
O75127	A0A3Q1MQ62
Q8TD20	Q5J316
Q9P2J3	F1MXI0
Q9P2J3	Q2T9Z7
Q6P9H4	A0A3Q1MR80
P43681	E1BHK0
O00482	A0A3Q1M5G9
Q0P6H9	E1BLF4
Q7Z5Q1	A0A3Q1LV66
Q9UJY5	F1MEP7
Q96DZ5	E1BAL0
Q53EQ6	G3MY25
Q8TBY0	E1BB24
P49281	A0A3Q1MRJ4
P06744	Q3ZBD7
Q6TDU7	Q29RU8
Q9ULC6	A6QLC1
P07225	P07224
Q9Y2I6	G5E648
Q08493	F1N5T6
O43307	Q58DL7
Q5VTE6	A6H7I3
Q8N6S4	A5PK24
P12110	F1MKG2
Q99593	F1MP50
Q8TES7	F1MC40
Q8NBW4	A0A3Q1LYC8
Q5H8A4	Q58D07
P02788	P24627
O75131	A5PJY9
Q6ZW05	F6PVM2
O75914	A0A3Q1LSY0
Q96L92	A5PKA5
Q96JK9	F1N778
Q9H845	A0A3Q1MP25
P10809	F1MUZ9
O95470	A0A3Q1LM94
Q9HCU0	E1BC38
Q9GZV3	Q2KI26
Q9NRG9	F6QCG0
O75382	A7MB36
O75553	F1N5F4
Q15291	A4FUE3
Q96JJ6	E1BL01
O15354	Q0VD43
Q969S8	Q0VD49
O94925	F1MM79
P78325	F1MIY8
P12107	F1N0K0
O00206	Q9GL65
Q8IZ07	F1N545
Q4ZIN3	G3MZ69
Q4G163	F1MH26
A0PJK1	Q6R4Q5
P17987	G5E531
Q99965	O77780
Q9UJ83	F1MVP8
Q8N9H8	G3X7J6
Q13573	Q1JQE0
Q6ZVF9	G3N2G3
O95793	F1MH34
O43781	F6PR52
P49368	Q3T0K2
O43823	A0A3Q1M9C8
Q8TEB1	F1MVT2
Q86XM0	E1B9E5
Q86XM0	A0A452DHU9
O43405	F1N103
Q9NQS3	F1MUF6
Q12980	F1MMI3
Q9NUW8	F1MST1
Q13127	E1BCT1
P52272	A0A3Q1MJD5
Q99572	F1MVZ6
P49419	A0A3S5ZP98
Q13564	E1B8X4
Q7L775	F1MVT7
Q6NV74	A0A3Q1MRY2
Q86VX9	Q17QV2
P07358	F1N102
Q96RR4	Q148H3
Q2TAA8	E1BLA2
Q9ULP9	A0A3Q1MU35
Q5VWK5	F1MZJ0
Q9H598	G3N354
Q8IYE1	E1BLG9
Q969V3	A0A3Q1NCG7
Q9UKF2	G3MZT7
P31948	Q3ZBZ8
Q09019	A0A3Q1MBI7
Q96GX1	E1BG73
P52306	A0A3Q1M477
P12956	F1MMD5
Q8IYR0	Q29RL1
Q9UHX1	A0A3Q1LML6
Q6P3X8	G5E5N2
Q9C040	A4IF63
Q9P270	Q3MHV6
Q96F46	A0A3Q1NNN8
P22001	E1B7K3
Q9BY44	A0A3Q1LW11
Q92925	E1BJD1
Q04771	F6RIX5
P57082	F1MTT6
Q9UJ78	A6QPH9
O15270	A5PKM3
O95758	A0A3Q1LLD4
Q9H4M9	Q5E9R3
Q00537	A0A3Q1LN49
Q96AP4	G5E563
Q9UBU7	E1BCW4
Q9H6T3	F1MFU5
Q96MH7	A4FUB0
P52739	A6QR64
Q92993	A0A3Q1MIR9
Q9NUQ6	A0A3Q1MSP6
Q9H2S9	F1N670
Q5TGY1	E1BE21
Q96RF0	A4IFN6
Q9NR64	F1N065
Q86UY8	F1MYW0
Q6NY19	A0A3Q1MKV0
O95153	E1BDA9
O95199	F1MCW5
Q92990	E1BA27
Q15392	A0A3Q1M7E0
Q8N944	F1MRJ5
Q6PML9	F1MDV2
Q5H9M0	E1BJ16
Q5U5Q3	F1N0W7
O15037	A7YY63
O94769	F1MG02
Q01064	Q0VCW5
Q13554	Q3MHJ9
Q9H0C3	A6QQU3
Q8TE77	F1MI92
O94901	G3MWU2
Q96C10	G3MWK8
O14986	F1N7M1
P25705	F1MLB8
Q8IXK2	A6QLX6
Q9BZW2	A0A3Q1LUW1
Q68BL7	A0A3Q1M5N9
Q9H4W6	F1MGH0
P10155	F1MIZ7
Q9NQ75	F1N289
Q08209	P48452
P48169	P20237
Q8NC60	F1ML97
P05166	Q2TBR0
Q96C11	E1BNF8
Q6H8Q1	A0A3Q1MZN6
Q16515	Q0VC38
Q99832	Q2NKZ1
Q9UM21	O77836
Q5TAA0	A5D7C7
Q8N7P1	E1BJN9
O00255	Q0P5I0
O14512	E1BIS1
P28799	E1BHY6
Q9NXB0	F6RVK1
Q9UPV0	A0A3Q1ML76
Q96MC2	Q32KY1
O95436	Q27960
Q8TAM1	A0A3Q1NLJ3
P36896	F1MSQ2
Q8TDD5	E1BDG0
Q03519	E1BJS0
Q5SWA1	E1BKX2
P48643	F1MWD3
P48664	A6H774
Q9Y5A7	F6QQ96
Q13772	Q1RMQ8
Q8WVX9	A5PJQ0
Q86W50	E1BCU7
Q8NB59	G3N3K6
P20810	A0A3Q1MZC5
Q17R60	Q9GMS5
Q9H222	F1N3L2
Q9UI36	A0A3Q1LF94
Q5SRH9	A0A3Q1NNC9
Q9H336	A6QR60
Q9NT99	E1BPK8
Q9H8Y5	Q58CQ5
Q8WVR3	E1BJZ9
Q5NDL2	A0JND3
Q9BPZ7	A2VDU2
O94788	G3X6U1
Q9NPH2	Q2NL29
Q99829	Q08DB4
Q9UHI7	E1BI45
Q8IW70	A0A3Q1MFT6
P56282	F1MKI8
P56282	A7YWS7
Q16236	Q5NUA6
P34925	A0A3Q1N0Q2
P49190	E1B7Q8
O76082	Q2KJE9
Q9HCJ2	F1MXH5
Q13425	F6QN89
Q8TF76	F1MG77
O15117	A7YWJ7
Q9NZN3	A5D7E1
Q9UHY1	Q08DY5
O14829	F1MBQ1
P15586	F1MXZ0
Q9BTN0	Q1RMS4
Q15650	A0A3Q1MJH2
Q96EY7	Q2KI62
Q9ULV3	F1MZB8
O15259	A7YWF3
Q8N4S9	F1MKJ9
O15460	G3N2F2
Q5JSP0	Q58CS5
Q96I24	A6QP83
O75112	G3N3C9
Q6ZNA5	F1MZM6
O00566	F1MQV1
Q9Y426	F1MZ05
Q6NXT6	F1MN55
Q92911	F1MT46
Q8NI17	F1MSV1
O00400	Q0VCP0
Q96SY0	Q5EA76
Q96KA5	F1MQ41
Q3LXA3	Q58DK4
Q5SY16	A0A452DIQ8
Q6DD88	A5PJD6
P02545	F1MYG5
Q13546	Q3SZK6
O00238	A0A3Q1LSA1
Q96JN2	F1N343
Q9HCS4	F1MJS2
Q13153	Q08E52
Q9P2G3	E1BPK1
Q6P1R3	F1MDC7
Q9H0K4	E1BJG2
O00341	F1MUT8
Q8N5T2	Q08DJ1
P37173	G3MZV8
P04040	P00432
P30038	A7YWE4
O75157	E1BCC2
P16298	A6H703
Q14739	A6QQV8
Q9NVP4	A0A3S5ZPC2
O95935	E1BJT1
Q53GS9	A6QQX8
P10912	O46600
P14618	A5D984
Q8IYA6	A5PK21
Q6GPH6	F1MLM6
O00305	F1N167
Q9H0I9	Q2NKZ4
O95800	F1MG76
Q8IYB4	F1MSB4
Q9UL17	E1BMW6
Q9H223	E1BJV0
P16452	O46510
P57075	F1MYY9
Q03933	A4FUA9
Q9H7S9	E1BBV0
O14772	E1B9U5
Q5T8A7	F1N1P8
Q9HBY0	E1BFF3
Q9NZM6	Q2TBW4
P26599	Q8WN55
Q9BRP7	F1MB48
Q9UM07	E1BCN3
Q9BYM8	Q1JPC8
O75426	F1N0D2
P02787	G3X6N3
P50281	F1N1E3
P16284	P51866
Q09327	E1BJA5
Q9BZJ0	F1MZT2
Q08289	Q9MZL5
Q969I6	F1MM24
P13521	P20616
Q9H511	G3N1Y0
Q9UKA9	A0A3Q1NH43
Q9BQI3	F1MWN0
Q16222	F1MJP7
Q8IZD6	E1B8T2
Q08397	A0JNB6
Q8WVT3	A0A3Q1MK52
Q8N2H3	Q3MHH6
O75751	F1MXY3
P55895	F6RRL6
Q8N1K5	A5D789
P32780	Q2KJ73
Q6ZW61	A6QNT9
Q68CZ6	F1MNN1
Q96LI5	A0A3Q1ME75
Q5T9L3	A0A3Q1MGH5
Q9UPE1	F6RD87
O14730	Q1RMT7
P06239	Q3ZCM0
Q02446	A0A3Q1MGT2
Q8TDN4	A0A3Q1N5R6
Q05513	A0A3Q1MSP9
Q86VM9	G3MX37
O96013	Q17QZ0
P22459	Q05037
Q9UBP0	A2VDN5
Q69YN2	E1BG07
Q9Y232	B2XBK5
Q9Y3I0	Q5E9T9
Q9Y5R2	F1MTK6
Q9UK73	F1N162
Q8NDH3	Q3SWX3
Q9BY84	E1BAA9
Q8WV44	E1BBY2
Q8NFJ9	E1BN34
Q3MIN7	E1BJC7
Q6ZVT6	A0A3Q1M8Z1
P27816	A0A3Q1LJL4
A6NEL2	F1MCD1
Q8TCP9	A0A3Q1N7T7
Q5GH72	E1BQ05
Q15642	A2VDU0
Q7Z4N8	Q75UG4
P17643	F1MBG9
Q2WGJ6	E1BPK4
P23759	E1BKL5
Q9H9A7	A4IF98
Q9P258	A6QL85
Q8IVW4	E1BM19
Q96JB8	A0A3Q1M4I7
P15923	A0A3Q1LQN2
P78371	Q3ZBH0
Q9Y2W6	F1MUI1
O00634	A0A3Q1LQK7
Q9NZI7	E1BG95
P00750	Q28198
Q12857	A0A3Q1M3A7
P49747	P35445
A0MZ66	A0A3Q1MCX8
O00167	Q58DB6
Q9UPQ8	Q58CR4
Q96F86	E1BEA2
O60381	Q2KJ34
O60381	A0A3S5ZPL4
Q14807	A6QPL4
Q8NG66	E1BJU4
P0CW18	A0A3Q1NEC6
Q7Z6M2	E1BJA6
Q9UID6	A5PK30
Q8N350	E1BI93
Q99607	E1BA84
Q7L5A3	Q5BIM2
Q8WUG5	Q3SZQ2
Q96FN5	A0A3Q1LX75
P07911	P48733
P16109	P42201
P54577	F1MHM5
Q13416	A6QNM3
P50747	F1MJL3
Q8NE31	F1MZ08
Q9H900	A6QM04
Q53F19	E1BM89
P40227	Q3MHL7
Q15742	Q1RMU0
Q9ULR3	F1MFZ6
Q13202	A0A3Q1MLC5
Q8IW92	F1MY73
Q99504	A0A3Q1M345
Q8WXA3	A0A3Q1MEX1
Q99755	A6QLC5
Q8NFR9	E1B8L3
O95747	F1MYV9
Q14534	A5D9A8
Q96ST8	F1MIX9
Q53T94	Q1JQD6
Q6ZU52	E1BGU8
P57772	A3KN48
Q6J4K2	A0A3Q1LSB1
Q9UGJ0	A0A3Q1MSS5
P14866	E1BIB4
Q96FT7	E1BMN1
Q01581	F6RJG0
Q92769	Q0VC01
Q03518	F1MVY8
P56817	Q2HJ40
Q9BYJ9	E1BAQ2
Q8NBR6	Q2KI23
P01833	P81265
Q8IZC4	E1BAW4
Q15051	Q29RS3
P35240	E1BIG2
Q9UQR0	E1BEZ3
Q92908	F1N1M2
Q9BUI4	Q2TBL4
Q14296	F1MQ72
Q6UXK5	A0N0X6
P41214	G8JKW9
P41214	Q58CR3
Q8IXR9	E1BMX3
Q96EK7	A6QNT4
Q9BUK6	A5D9D4
Q9BST9	F1MS34
A2AJT9	F6QZC9
P21281	P31408
Q9Y219	G3X6N5
Q5KU26	A6QP79
O14975	A0A3Q1M4C7
O43280	E1B8N4
P98077	F1N5N3
Q9HCK1	F1MQG4
Q8IZ69	A0A3Q1M2X8
Q9Y4K3	Q3ZCC3
Q9BQN1	F1N708
Q8NEG5	E1BG21
Q86X55	A0A3Q1LQR4
O00311	Q32PH9
Q05932	F1MWN5
Q9NUN5	F1N364
Q9NUN5	Q3SYY9
Q96S52	Q3SZL5
Q9BVK2	F1MV61
Q9Y5P8	A0A3Q1M9K6
Q6XYQ8	F1MRP4
O60299	E1BNL7
Q4W5G0	G3N133
Q9NY93	Q3SZ40
Q86VW2	A0A3Q1N6F4
P53041	F1N719
Q9Y4A0	F1MTE4
Q14CZ7	Q58CX2
Q16875	A0A3Q1N7K4
Q9UHB4	Q1JPJ0
Q8NHP8	Q2KIY5
Q8NG27	Q0V7P2
P14859	A0A3Q1M3H3
P48547	F1N553
P48444	P53619
P20592	F1MZT4
Q8N680	E1BNH4
Q9Y616	A0A3Q1N803
P50991	F1N0E5
Q9ULG6	A0A3Q1MBY1
Q3MIT2	F1MRD5
A7MCY6	E1BM04
Q9HBX8	G3X6G8
Q9HC58	E1BGG7
P11413	A0A3Q1MM55
Q14554	Q2KIL5
P02671	F6QND5
P47870	E1BFC0
Q0D2K2	A0A3Q1MKA4
Q86YC3	Q3ZBI5
Q5FYA8	G3N2T7
Q86VQ6	F1MBL2
Q9NP59	A0JNB7
Q86UK7	A0A3Q1LWW3
Q8WXI4	E1BMF5
P14679	F1MBK3
O60826	Q1RMI8
Q9NR63	E1BHJ4
Q9NVN3	A0A3Q1M9J6
Q9P0K8	E1B8C0
Q8IYB1	E1B9A3
Q01201	F1MBB0
Q96RS6	A0A3Q1N2D0
Q5T6L9	E1BEW0
Q92570	E1B7S6
P98153	A0A3Q1NK82
Q86TM6	E1BAK9
P15848	A6QLZ3
Q13177	A0A3Q1M0G8
Q5TD94	E1BGG1
Q8IYB8	A6QP28
Q9NV64	Q0VCF5
Q9UKU9	B2Z4B0
O43272	G3N3Y2
Q6ZN55	Q29RK0
P48740	F1MVS9
Q8N3Y1	E1BGE6
P30419	F1MZK0
Q9NWZ5	A0A3Q1MGP5
Q0ZGT2	E1BDF0
Q9BYI3	E1BFZ6
Q16851	Q07130
Q0D2I5	B0JYL4
Q14246	A0A3Q1M1E4
Q96JP0	A7MB89
Q9H8M2	F1N3J5
Q13596	F1N399
Q9GZU3	Q17QW2
P09622	F1N206
O00463	A0A3Q1MFU3
Q53GT1	A0A3Q1MPJ6
P12268	Q3SWY3
Q5VUJ6	A0A3Q1MFC9
Q96GM5	F1MTG9
Q92565	F1N3K6
Q8WV83	A6QL92
Q9H4L4	E1BKE9
Q9BUZ4	F6RJL7
P02768	P02769
P35241	Q32LP2
Q12800	F6R2A8
Q6NUM9	E1BDK9
Q9UEW8	A0A3Q1N7V3
P20839	A0JNA3
P27338	P56560
P49591	Q9GMB8
Q9Y2B5	E1BGB1
O75419	F1MQQ0
P58005	F1MFJ7
O00541	E1BM72
Q99615	F1N7H0
Q6UWY0	Q148F3
P04062	Q2KHZ8
P28039	F6RSE9
P61011	Q2T9U1
P22304	F1N2D5
Q96SZ6	A0A3Q1MHR5
Q9UK59	A5PJS3
Q05996	Q9BH10
P06576	A0A452DII8
P06576	P00829
Q7RTS6	F1MZ55
P51687	Q3MHX0
Q6NUS6	E1BGZ2
Q96D46	Q08DS5
Q9Y243	F1MYJ4
O75343	F1MW05
P35368	F1MGA6
Q8IXL6	A0A3Q1N5X6
Q9UGN5	G3N186
P09769	A5PKG9
Q5C9Z4	E1B8C2
Q9BRK4	F1MY71
P35610	Q3T0N9
Q96PQ7	A0A3Q1MNZ4
Q6UW63	Q0VD36
O43566	E1BIV2
Q14393	F1MZ40
Q13123	A4FUY8
O60237	A0A3Q1LLA1
Q96RU3	A0A3Q1LPM3
Q02252	A0A3Q1LN22
Q9NVI7	A7YWC4
Q86SS6	A0A3Q1LXE7
O60678	A6QL80
Q8IYJ1	F1MRS5
Q13057	A0A3Q1MSN7
O95376	E1B8R6
Q9Y4R7	G3N3S4
O15409	F1N4J3
P11308	A0A3Q1LS58
O94842	Q0P5K4
P48167	Q9GJS9
P36544	A6QPI7
Q9H0R6	F1MYR8
Q96AQ6	A0A3Q1M273
Q96AQ6	A6QLY7
Q13939	Q28068
Q86XE3	F1MHU1
Q9Y5S8	E1BPJ7
Q96BR1	F1MSV4
Q3MIX3	F1N2C7
Q8IXS8	A0A3Q1M966
Q6ZP65	E1BCZ1
Q9UM11	Q32L05
Q6ZQY3	A6QM00
Q9ULX5	Q08DF2
Q12874	Q3SWY7
Q9Y6N9	F1MIQ5
O43187	Q0P5I2
Q9Y2P4	A6QQD5
Q8IVJ1	E1BAX4
Q9NPI6	F1N4I7
Q14258	A6QLA8
P43003	P46411
P30101	A5D7E8
P30101	P38657
Q8WU58	E1BFC5
Q9HCM7	E1BD01
P23276	F1N2Q4
P02771	Q3SZ57
Q86UB2	A0A3Q1MPG6
Q9UKM7	G3MXQ8
Q86WA9	Q58DD2
Q96S55	A6QR70
Q9HDC5	G5E5B8
Q15431	A0A3Q1MIB7
P17342	B0JYL2
Q02086	Q5E9U0
Q9UBI9	F1ML56
A6NNW6	F6RG16
P05091	P20000
P08912	F1MCK3
P80404	F1MFB7
P49279	Q27981
Q14872	Q08DF6
O60701	P12378
Q9NU19	A0A3Q1M3Z2
P00395	P00396
Q9H0W8	Q2YDD2
Q13217	F1N036
Q8NER5	F1MMW7
O15244	E1BHW6
Q06330	Q3SZ41
P48651	Q2KHY9
Q86YS3	E1BDG6
Q96AA3	E1BNC6
Q9NRI5	A0A3Q1MBR1
Q9UGP5	E1BHH1
Q7RTM1	G5E561
P31512	G5E5J8
P20273	A0A3Q1NI55
P51689	A0A3Q1LGQ6
Q9Y608	E1BBW0
Q32MQ0	A2VDR9
P35520	F1MEW4
P54829	A0A3Q1NCC1
Q6ZR37	A0A3Q1LK00
Q9UBL6	F1MZS0
Q6ZTN6	F1N2K0
Q8WU20	E1B7I9
P41161	E1BCP8
P19961	F1MP21
