Gene stable ID	UniProtKB/TrEMBL ID	UniProtKB/Swiss-Prot ID
ENSBTAG00000030951	A0AAA9T6W2	
ENSBTAG00000000655	A0AAA9THI6	
ENSBTAG00000030951	Q0IIK3	
ENSBTAG00000064979	A0A3Q1LQA8	
ENSBTAG00000000655	A0AAA9T1P3	
ENSBTAG00000000655	A0A3Q1MI03	
ENSBTAG00000030951	A0AAA9TR09	
ENSBTAG00000072040		
ENSBTAG00000030951	A0A3Q1LXW8	
ENSBTAG00000070420		
ENSBTAG00000030951	A0A3Q1MBL2	
ENSBTAG00000045643	G3MX55	
ENSBTAG00000051481	A0A3Q1N7T7	
ENSBTAG00000051575	A0A3Q1LVR6	
ENSBTAG00000044121	A0AAA9SPH1	
ENSBTAG00000047572	G3MZC9	
ENSBTAG00000053814	A0A3Q1LJL7	
ENSBTAG00000047572	A0AAA9T2Q0	
ENSBTAG00000044121	A0AAA9SLE8	
ENSBTAG00000047572	A0AAA9SZB0	
ENSBTAG00000047572	A0AAA9S1Z0	
ENSBTAG00000049731	A0A3Q1M6V8	
ENSBTAG00000044121	E1BE32	
ENSBTAG00000044121	A0AAA9RTQ9	
ENSBTAG00000016190		
ENSBTAG00000044121	A0AAA9SVS3	
ENSBTAG00000016190	F6QJ16	
ENSBTAG00000044121	A0AAA9TAY8	
ENSBTAG00000075176	A0AAF6ZEL1	
ENSBTAG00000044121	A0A3Q1M8H6	
ENSBTAG00000075176		
ENSBTAG00000075176	A0A3Q1ML66	
ENSBTAG00000044121	A0AAA9T5P4	
ENSBTAG00000075176		Q28851
ENSBTAG00000044121	A0AAA9T778	
ENSBTAG00000027024	A0AAA9TUL6	
ENSBTAG00000002090	A0AAA9TBD9	
ENSBTAG00000027024	A0AAA9SEE3	
ENSBTAG00000002090	A0AAF6YJ37	
ENSBTAG00000027024	E1BM23	
ENSBTAG00000002090	A0AAA9S5V7	
ENSBTAG00000002090	A0AAA9SPB0	
ENSBTAG00000002090	A0A3Q1N6C7	
ENSBTAG00000013888	F1MNS7	
ENSBTAG00000013888	F1MNS7	
ENSBTAG00000020440	A0A3Q1MQ62	
ENSBTAG00000020440	A0AAA9TK67	
ENSBTAG00000013888	F1MNS7	
ENSBTAG00000020440	A0AAA9T105	
ENSBTAG00000013888	F1MNS7	
ENSBTAG00000020440	E1BNM9	
ENSBTAG00000020439	A0AAF6ZD28	
ENSBTAG00000020439		Q2NKU3
ENSBTAG00000020439	A0AAA9TIV3	
ENSBTAG00000044040		
ENSBTAG00000044040	F1MNS8	
ENSBTAG00000044040	A0AAA9TKV8	
ENSBTAG00000044040	A0AAA9T325	
ENSBTAG00000015095		
ENSBTAG00000046248		Q58CQ2
ENSBTAG00000046248	A0AAF6ZR53	
ENSBTAG00000015095	F1MVN8	
ENSBTAG00000015095	A0AAA9S8F1	
ENSBTAG00000004242		Q1JP79
ENSBTAG00000015095	A0A3Q1LQC7	
ENSBTAG00000005679	A0A3Q1LPG6	
ENSBTAG00000015737		C1JZ66
ENSBTAG00000015737	A0AAA9TTK1	
ENSBTAG00000015095	A0A3Q1LVR0	
ENSBTAG00000007118	A0AAA9S4G8	
ENSBTAG00000007118	F1MLS5	
ENSBTAG00000017719	F1N0Q2	
ENSBTAG00000017719	A0AAA9SW39	
ENSBTAG00000015346	A0A3Q1M1D3	
ENSBTAG00000015346	A0AAF6Z1A5	
ENSBTAG00000015346	A5D969	
ENSBTAG00000015346	A0AAA9TXM6	
ENSBTAG00000004462	A0A3Q1MR90	
ENSBTAG00000007113	A0AAA9SH40	
ENSBTAG00000015346	F6QS28	
ENSBTAG00000004462	A0AAA9SHL5	
ENSBTAG00000015346	A0A3Q1M5Q7	
ENSBTAG00000004462	F1MB19	
ENSBTAG00000007113	A0AAA9SVS0	
ENSBTAG00000069946	A0AAA9S380	
ENSBTAG00000004462	A0A3Q1MN08	
ENSBTAG00000007113	E1BKJ5	
ENSBTAG00000018888	A0A140T8A2	
ENSBTAG00000008172	A7MBA0	
ENSBTAG00000026278		Q6BBL6
ENSBTAG00000018888	A0AAA9TIU8	
ENSBTAG00000008172	A0AAA9SDY7	
ENSBTAG00000047266	G3N0J6	
ENSBTAG00000013981		Q5E978
ENSBTAG00000050087	F1MIM7	
ENSBTAG00000009840	G5E5X2	
ENSBTAG00000003419	F6Q1C1	
ENSBTAG00000077838		
ENSBTAG00000005580	F1N2Q8	
ENSBTAG00000000229		
ENSBTAG00000007238	G3X6N1	
ENSBTAG00000007238	A0AAA9STC2	
ENSBTAG00000009683	A0AAF6YU11	
ENSBTAG00000009683	A0AAA9STE6	
ENSBTAG00000009683	A0AAA9S278	
ENSBTAG00000021248	F6Q4N6	
ENSBTAG00000052665	A0A3Q1LK48	
ENSBTAG00000052665	A0AAA9S0C7	
ENSBTAG00000071509	A0A3Q1LZ03	
ENSBTAG00000020012	A0AAF6Z7F2	
ENSBTAG00000020012		Q2KJC1
ENSBTAG00000005339	G3N295	
ENSBTAG00000005339	A0AAA9SPH9	
ENSBTAG00000005339	A0AAF6DLW6	
ENSBTAG00000005339	A0AAF6YNP9	
ENSBTAG00000005339	A0AAF6DLZ1	
ENSBTAG00000012384	F1MX26	
ENSBTAG00000015900		Q0P5N1
ENSBTAG00000015900	A0A3Q1MIF7	
ENSBTAG00000071274		
ENSBTAG00000005532	A0AAA9T137	
ENSBTAG00000005532	E1B8F6	
ENSBTAG00000005532	A0AAA9S9G0	
ENSBTAG00000055670	A0A3Q1LMP5	
ENSBTAG00000003818	F1MWS3	
ENSBTAG00000020215	A0AAA9TNU9	
ENSBTAG00000010012	F6PWU2	
ENSBTAG00000005533	A0AAA9ST11	
ENSBTAG00000020215	A0A3Q1LL76	
ENSBTAG00000032705	F1MLH6	
ENSBTAG00000020215	E1BDW9	
ENSBTAG00000005533	F1N1S8	
ENSBTAG00000020215	A0AAA9SE22	
ENSBTAG00000005533	A0AAA9SU24	
ENSBTAG00000020215	A0AAA9S5C4	
ENSBTAG00000013873		Q0P5C3
ENSBTAG00000005536		Q29407
ENSBTAG00000005536	A0AAF7A7J1	
ENSBTAG00000002929	A0AAA9TVR2	
ENSBTAG00000005536	A0AAF7AP13	
ENSBTAG00000002929	A0A3Q1LM60	
ENSBTAG00000002929	A0AAA9TW90	
ENSBTAG00000053873	A0AAF6ZH14	
ENSBTAG00000002929	A0AAA9S8T8	
ENSBTAG00000007979	A0AAA9S594	
ENSBTAG00000012749	E1BK00	
ENSBTAG00000007979	A0AAA9TRP8	
ENSBTAG00000002929	A0AAA9TTK7	
ENSBTAG00000002929	A0AAA9SMB7	
ENSBTAG00000002929	E1BF88	
ENSBTAG00000002929	A0AAA9T985	
ENSBTAG00000012752	A0AAA9TG73	
ENSBTAG00000007979	A0A3Q1MGE6	
ENSBTAG00000002929	A0AAA9TZP7	
ENSBTAG00000012752	A0AAA9SK15	
ENSBTAG00000012752		Q2TA12
ENSBTAG00000007979	A0A3Q1LMQ9	
ENSBTAG00000027375	A0AAA9SAD2	
ENSBTAG00000027375	A0AAA9SL40	
ENSBTAG00000007979		Q3SYU7
ENSBTAG00000012755		
ENSBTAG00000027375	A0AAA9RTM1	
ENSBTAG00000027375	A0A3Q1MJH7	
ENSBTAG00000007979	A0A3Q1MP13	
ENSBTAG00000027375	F1MPX5	
ENSBTAG00000007979	A0AAA9RZ57	
ENSBTAG00000031249	F1MDD0	
ENSBTAG00000012755	A0AAA9SN82	
ENSBTAG00000002020	E1BPS0	
ENSBTAG00000012755	F1MWR7	
ENSBTAG00000054330	G3N1W7	
ENSBTAG00000002020	A0AAF6DLQ0	
ENSBTAG00000054330		
ENSBTAG00000006379	F1MFG7	
ENSBTAG00000012761	A0AAA9SE56	
ENSBTAG00000006379	A0AAA9SK61	
ENSBTAG00000002021	F1N353	
ENSBTAG00000006379	A0AAA9S4F4	
ENSBTAG00000002021	A0AAA9RVH9	
ENSBTAG00000012761	A0AAA9SL34	
ENSBTAG00000002021	A0A3Q1M736	
ENSBTAG00000012761	A0AAA9U0A3	
ENSBTAG00000006378	A0AAF6DMH7	
ENSBTAG00000012761	A0AAA9SU91	
ENSBTAG00000006378	A0AAA9RUQ4	
ENSBTAG00000020568	Q29RN9	
ENSBTAG00000012761	F1MWK8	
ENSBTAG00000012761	A0AAA9SPA1	
ENSBTAG00000012761	A0AAA9TBS4	
ENSBTAG00000000786	F6RC34	
ENSBTAG00000012761	A0AAA9TNR0	
ENSBTAG00000009995	A0A3Q1LXD4	
ENSBTAG00000000786	A0A3Q1LP27	
ENSBTAG00000054098	A0A3Q1LKH6	
ENSBTAG00000009861	A6H792	
ENSBTAG00000053511	A0A3Q1NAJ0	
ENSBTAG00000009995	A0A3Q1MMX4	
ENSBTAG00000009995	E1BGL4	
ENSBTAG00000031267	F6Q447	
ENSBTAG00000009995	A0A3Q1N0B1	
ENSBTAG00000038916	A0A3Q1LU11	
ENSBTAG00000011975	A0A3Q1LN63	
ENSBTAG00000038916	E1BJ53	
ENSBTAG00000011975	A0AAA9T4Z2	
ENSBTAG00000038916		
ENSBTAG00000009995	A7Z087	
ENSBTAG00000010100	A0AAA9TPG0	
ENSBTAG00000005633	A0A3Q1LIP3	
ENSBTAG00000006166	A6QR70	
ENSBTAG00000010100	F6RGV5	
ENSBTAG00000010100		
ENSBTAG00000012079	A0A3Q1LXF9	
ENSBTAG00000012079	A0A3Q1M5L3	
ENSBTAG00000005633	A0A3Q1LKT3	
ENSBTAG00000010101		Q5E9N0
ENSBTAG00000012079	F1MG18	
ENSBTAG00000005633	A0A3Q1M605	
ENSBTAG00000026896	F1N694	
ENSBTAG00000005633	A0A3Q1N4R7	
ENSBTAG00000010106	A0AAA9S7K6	
ENSBTAG00000005633	A0AAA9TYA4	
ENSBTAG00000012058	A0AAA9SD05	
ENSBTAG00000010106	F1MV86	
ENSBTAG00000012058	A0AAA9TKY2	
ENSBTAG00000005633	A0AAA9S566	
ENSBTAG00000010106	A0AAA9S6G4	
ENSBTAG00000012058	A0AAA9S4R1	
ENSBTAG00000005633	A0A3Q1M3Y7	
ENSBTAG00000012058	A0AAA9T3S6	
ENSBTAG00000012058	A0AAA9TUZ6	
ENSBTAG00000005633	A0AAA9TH66	
ENSBTAG00000012058	A0AAA9TN00	
ENSBTAG00000012058	A0AAF6DM40	
ENSBTAG00000011339	A0AAA9TGQ4	
ENSBTAG00000052132	A0A3Q1M7S9	
ENSBTAG00000034659	A0AAF6ZHF1	
ENSBTAG00000064862	A0AAA9RYD9	
ENSBTAG00000011339	A0AAA9T0W0	
ENSBTAG00000011339	A0AAA9S6E7	
ENSBTAG00000011339		A7MAZ4
ENSBTAG00000011339	A0AAA9SFP2	
ENSBTAG00000011339	A0AAA9TM99	
ENSBTAG00000011339	A0AAA9SBD8	
ENSBTAG00000011339	A0AAA9SW99	
ENSBTAG00000014675	A0AAA9TCR3	
ENSBTAG00000011339	A0AAA9SA86	
ENSBTAG00000014675	A0AAA9T4S9	
ENSBTAG00000051116	A0A3Q1LLX1	
ENSBTAG00000014675	A0AAA9SV15	
ENSBTAG00000051116	A0AAA9T1H3	
ENSBTAG00000014675	A0AAA9TXS1	
ENSBTAG00000012822	A0AAA9TI39	
ENSBTAG00000014675	A0AAF6Z0C8	
ENSBTAG00000012822	Q2NKT6	
ENSBTAG00000012439	A0AAA9SWT2	
ENSBTAG00000012439	F1MWV0	
ENSBTAG00000012777	E1BJP4	
ENSBTAG00000001962	A0AAA9SDD8	
ENSBTAG00000019908	E1BM39	
ENSBTAG00000001962	F1N1S1	
ENSBTAG00000019908	A0AAA9TX57	
ENSBTAG00000001962	A0AAA9TVK4	
ENSBTAG00000019908		
ENSBTAG00000001962	A0AAA9S006	
ENSBTAG00000001962	A0AAA9S2X1	
ENSBTAG00000019913	E1BM28	
ENSBTAG00000001962	A0A3Q1LWB2	
ENSBTAG00000050249	A0AAA9U0M9	
ENSBTAG00000003377	E1BEH5	
ENSBTAG00000050249	A0A3Q1N0U9	
ENSBTAG00000050249	A0AAA9S3S9	
ENSBTAG00000008494	A0AAF6YS80	
ENSBTAG00000008494		Q58DS4
ENSBTAG00000048485	G3X7R7	
ENSBTAG00000032680	F1MY22	
ENSBTAG00000048485	E1BJB1	
ENSBTAG00000032680	A0A3Q1NJM3	
ENSBTAG00000063252	F1N0T3	
ENSBTAG00000032680	A0AAA9TDC3	
ENSBTAG00000063252	A0AAA9TDG9	
ENSBTAG00000068939	G3X7H8	
ENSBTAG00000017545	A0A3Q1NNG9	
ENSBTAG00000046107	G3N2J4	
ENSBTAG00000057194	A0A3Q1MJK1	
ENSBTAG00000017545	F1MYS2	
ENSBTAG00000000564		
ENSBTAG00000000564		Q0VCZ0
ENSBTAG00000021066	F1MXQ5	
ENSBTAG00000000564	A0AAA9SSV3	
ENSBTAG00000021066		
ENSBTAG00000001823	E1B8P3	
ENSBTAG00000018224	A0A3Q1LVS7	
ENSBTAG00000034598	A0AAA9TLS5	
ENSBTAG00000018224	A0A3Q1M998	
ENSBTAG00000018224	E1BHF7	
ENSBTAG00000034598	F1N2T2	
ENSBTAG00000001074		Q32L85
ENSBTAG00000011112	E1BNW6	
ENSBTAG00000010328	Q8HZT2	
ENSBTAG00000006843		A7MB12
ENSBTAG00000010352	E1BEH1	
ENSBTAG00000018452		Q2KI79
ENSBTAG00000027197	G3N2I9	
ENSBTAG00000016002	A0A3Q1LX85	
ENSBTAG00000014211	A0A3Q1LNC5	
ENSBTAG00000016002	F1N5F9	
ENSBTAG00000014211	E1BM52	
ENSBTAG00000016002	A0AAA9TUL0	
ENSBTAG00000016002	A0AAA9TV48	
ENSBTAG00000007934	A0AAA9SNV4	
ENSBTAG00000021381	E1B8Z3	
ENSBTAG00000021381	A0A3Q1LS91	
ENSBTAG00000003066	A0AAA9TCM3	
ENSBTAG00000007934		P82916
ENSBTAG00000003066		Q3SX11
ENSBTAG00000010449	A0AAA9SB64	
ENSBTAG00000003066	A0AAA9SJM0	
ENSBTAG00000010449	A0A3Q1LLZ9	
ENSBTAG00000013111	F1MSF1	
ENSBTAG00000010449	A0AAF6YV68	
ENSBTAG00000017999	G3N258	
ENSBTAG00000017999	A0A3Q1LIC9	
ENSBTAG00000015301	A0A452DJH7	P82670
ENSBTAG00000017999	F1MX25	
ENSBTAG00000015519	A0AAF6ZIV2	
ENSBTAG00000015301	A0AAF7AJ19	
ENSBTAG00000001280	A0A3Q1LY53	
ENSBTAG00000015519	A0AAA9STG3	
ENSBTAG00000017999	A0A3Q1MAD1	
ENSBTAG00000001280	A0A3Q1MLL8	
ENSBTAG00000015519	A0AAA9T8Q1	
ENSBTAG00000017999	A0A3Q1N978	
ENSBTAG00000001280	A0AAA9T7Y7	
ENSBTAG00000064664	A0AAA9TSB7	
ENSBTAG00000006350	F1MGH8	
ENSBTAG00000015519	A0A3Q1MXK4	
ENSBTAG00000017802	A0A3Q1MP14	
ENSBTAG00000006357	A0AAA9TWC9	
ENSBTAG00000064664	A0A3Q1MLY7	
ENSBTAG00000064664	A0AAA9TSB7	
ENSBTAG00000003467	A0A452DHY8	
ENSBTAG00000017802	G3X7C1	
ENSBTAG00000015519	A0AAA9RZY7	
ENSBTAG00000006357	A0AAA9SWS4	
ENSBTAG00000064664	A0AAA9TSB7	
ENSBTAG00000001280	A0AAF6YI04	
ENSBTAG00000006357	E1BFL4	
ENSBTAG00000064664	A0AAA9TSB7	
ENSBTAG00000064664	A0AAA9TSB7	
ENSBTAG00000064664	A0AAA9TSB7	
ENSBTAG00000011744	A0A3Q1MH87	
ENSBTAG00000018024	A0AAA9TZE7	
ENSBTAG00000018024	F1MWI2	
ENSBTAG00000010217	F1MJN1	
ENSBTAG00000015512	H7BWW2	
ENSBTAG00000010217	F1MJN7	
ENSBTAG00000015512	E1B9H0	
ENSBTAG00000033080		Q5EAD6
ENSBTAG00000031598	Q3SWX4	
ENSBTAG00000031598	A0AAA9S6W9	
ENSBTAG00000000396		Q9N0P9
ENSBTAG00000034138	A0AAA9TP79	
ENSBTAG00000006680	A0A3Q1M2R8	
ENSBTAG00000013109	A0AAA9T0U2	
ENSBTAG00000034138	E1B9E8	
ENSBTAG00000013081	A0AAA9TH74	
ENSBTAG00000013109	A0AAA9SQQ0	
ENSBTAG00000006680	A0A3Q1LZM4	
ENSBTAG00000013081	A0AAA9RWN7	
ENSBTAG00000006680	Q0VC61	
ENSBTAG00000053813	A0A3Q1MWQ6	
ENSBTAG00000013081	A0AAF6YYF1	
ENSBTAG00000053813	A0AAA9RXZ0	
ENSBTAG00000053813	A0AAA9STU1	
ENSBTAG00000013109	A0A3Q1MFU0	
ENSBTAG00000053813	A0AAA9T0N4	
ENSBTAG00000013109	A0A3Q1M3V5	
ENSBTAG00000053813	A0A3Q1LHT1	
ENSBTAG00000013109	A0AAA9T986	
ENSBTAG00000026369	F1MK88	
ENSBTAG00000053813	A0AAA9SPV6	
ENSBTAG00000055252	A0AAA9T5P5	
ENSBTAG00000013109	G3X721	
ENSBTAG00000026369		
ENSBTAG00000055252	A0A3Q1MAR8	
ENSBTAG00000008184	F1MGX0	
ENSBTAG00000019343	F1MLU9	
ENSBTAG00000055252	A0AAA9T3H3	
ENSBTAG00000047129	A0AAA9S2C3	
ENSBTAG00000055252	A0AAA9SDF7	
ENSBTAG00000019343	A0AAA9SE82	
ENSBTAG00000047129	F1MGN7	
ENSBTAG00000019343	A0AAA9SRT9	
ENSBTAG00000008184		Q3MHL7
ENSBTAG00000047129	A0AAA9S2C3	
ENSBTAG00000026369	F1MK88	
ENSBTAG00000047129	A0AAA9S2C3	
ENSBTAG00000019343	A0A3Q1M3C7	
ENSBTAG00000047129	A0AAA9S2C3	
ENSBTAG00000026369	F1MK88	
ENSBTAG00000008190	A0A3Q1M497	
ENSBTAG00000047486		Q68RJ9
ENSBTAG00000008190		Q58CP2
ENSBTAG00000050535	A0A3Q1LTJ6	
ENSBTAG00000050535	A0AAA9SFP3	
ENSBTAG00000008190	A0AAA9RYE8	
ENSBTAG00000015131	F6PZI3	
ENSBTAG00000050535	A0AAA9T0R8	
ENSBTAG00000017218	A0AAA9TKD3	
ENSBTAG00000008190	A0AAA9S5G4	
ENSBTAG00000050535	A0AAA9SEM3	
ENSBTAG00000015131	Q3ZC83	
ENSBTAG00000015131	A0A3Q1M9U9	
ENSBTAG00000017218	F6RPA9	
ENSBTAG00000015131	A0A3Q1MJQ0	
ENSBTAG00000017218		
ENSBTAG00000011895	A0A3Q1LQV2	
ENSBTAG00000008195	Q29RI2	
ENSBTAG00000047930	A0AAA9S5S0	
ENSBTAG00000017218	A0AAA9T547	
ENSBTAG00000047930	A0AAA9TCJ2	
ENSBTAG00000017218	A0AAA9T050	
ENSBTAG00000011895		Q08DA5
ENSBTAG00000017218	A0AAA9T2X0	
ENSBTAG00000047930	A0AAA9TY24	
ENSBTAG00000040295	Q3ZCI0	
ENSBTAG00000000778	A0AAA9SQM8	
ENSBTAG00000058190	A0AAA9S008	
ENSBTAG00000040295	A0A3Q1M0J3	
ENSBTAG00000000778		Q76LV1
ENSBTAG00000058190	A0AAA9S008	
ENSBTAG00000058190	A0AAA9S008	
ENSBTAG00000000778	A0AAA9TAX9	
ENSBTAG00000075789		
ENSBTAG00000058190	A0AAA9S4M0	
ENSBTAG00000000778	G5E507	
ENSBTAG00000075789		
ENSBTAG00000058190	A0AAA9S008	
ENSBTAG00000031582	A0AAA9T8U4	
ENSBTAG00000031582	E1BF97	
ENSBTAG00000008076	A0AAA9T3P1	
ENSBTAG00000008076	Q3ZBB0	
ENSBTAG00000014448	A0AAA9SWV9	
ENSBTAG00000008419	A0A3Q1LZU1	
ENSBTAG00000014448	A0AAA9U088	
ENSBTAG00000013705	F1MVS1	
ENSBTAG00000008419	A0A3Q1MJ90	
ENSBTAG00000014448	G3MZM8	
ENSBTAG00000064434	A0AAA9STI6	
ENSBTAG00000008419	F1N0Y8	
ENSBTAG00000064434	A0AAA9TC00	
ENSBTAG00000000704	A3KMY8	
ENSBTAG00000017746	A0AAA9TBI4	
ENSBTAG00000008419	A0A3Q1MZ56	
ENSBTAG00000069905	A0AAA9TZK2	
ENSBTAG00000000704	A0A3Q1LMC1	
ENSBTAG00000008419	A0A3Q1MKS7	
ENSBTAG00000017746	F1MMM6	
ENSBTAG00000008419	A0A3Q1N0G7	
ENSBTAG00000013722	A0AAA9SW81	
ENSBTAG00000017746	A0AAA9S249	
ENSBTAG00000052611	A0A3Q1NKM6	
ENSBTAG00000008419	A0A3Q1MJE1	
ENSBTAG00000013722	A0AAA9RYJ5	
ENSBTAG00000013722	F1MKA6	
ENSBTAG00000008180	F1MGX8	
ENSBTAG00000037489	A0AAA9TYI6	
ENSBTAG00000016651	A0AAA9SDU6	
ENSBTAG00000037489	A0AAA9TN64	
ENSBTAG00000013863	F1MI99	
ENSBTAG00000037489	A0AAA9TIA6	
ENSBTAG00000037489		
ENSBTAG00000015099	E1BCF5	
ENSBTAG00000010007	A0A3Q1M757	
ENSBTAG00000037489	A0AAF6ZJ37	
ENSBTAG00000037489	A0AAA9T072	
ENSBTAG00000007382	A0AAA9U0P3	
ENSBTAG00000015100	A0AAA9SGI0	
ENSBTAG00000015100	A0AAA9TLK6	
ENSBTAG00000015100		P81103
ENSBTAG00000010007	A0A3Q1MGB3	
ENSBTAG00000007382	A0AAA9TSK9	
ENSBTAG00000007382	F1MRU6	
ENSBTAG00000010007	A0AAA9S1V1	
ENSBTAG00000010007	F6RPH3	
ENSBTAG00000007382	A0A3Q1M0B5	
ENSBTAG00000045936	G3N0P9	
ENSBTAG00000007382	A0AAA9RVV3	
ENSBTAG00000014612	A0A3Q1MI02	
ENSBTAG00000039234	A0A3Q1MMN8	
ENSBTAG00000014612	A0A3Q1LWX5	
ENSBTAG00000039234	F1MSA3	
ENSBTAG00000015780	A0AAA9SNV5	
ENSBTAG00000024911	G3MVZ9	
ENSBTAG00000015780	Q0VCQ9	
ENSBTAG00000014612	A0A3Q1LPT5	
ENSBTAG00000013316	A0AAA9TFG5	
ENSBTAG00000013364	A0AAA9TG67	
ENSBTAG00000014612	F1N3K0	
ENSBTAG00000013364	E1BA50	
ENSBTAG00000023147	A0AAA9THL6	
ENSBTAG00000023147	A0AAA9SHT6	
ENSBTAG00000013316	E1B8Z0	
ENSBTAG00000002051	A0AAA9T4W1	
ENSBTAG00000023147	F1MBT2	
ENSBTAG00000013368	A2VDV1	
ENSBTAG00000013368	A0A3Q1LLE5	
ENSBTAG00000002134	E1BNY7	
ENSBTAG00000023147	F1MBT2	
ENSBTAG00000013316	A0AAA9SSX0	
ENSBTAG00000023147	F1MBT2	
ENSBTAG00000013316	A0AAA9SQ56	
ENSBTAG00000013316	A0A3Q1M4U1	
ENSBTAG00000023147	F1MBT2	
ENSBTAG00000015376	A0A3Q1M118	
ENSBTAG00000015314	A0AAA9TVE6	
ENSBTAG00000015376	A0A3Q1MCG1	
ENSBTAG00000015376	F1MLG0	
ENSBTAG00000001298	Q08DL2	
ENSBTAG00000002369	Q32LD5	
ENSBTAG00000002369	F6RYJ1	
ENSBTAG00000015376	A0A3Q1M9I3	
ENSBTAG00000002504	A0A3Q1MUL6	
ENSBTAG00000015314	A0AAF6Z195	
ENSBTAG00000002051	F1MHU2	
ENSBTAG00000001298	A0A3Q1LU95	
ENSBTAG00000014253	A0AAF6DLM0	
ENSBTAG00000015376		
ENSBTAG00000002504	E1BNR2	
ENSBTAG00000015376	A0A3Q1LVJ4	
ENSBTAG00000015314	A0AAF6ZSF1	
ENSBTAG00000014253	A0A3Q1M3Z2	
ENSBTAG00000002051	A0A3Q1M4A0	
ENSBTAG00000015376		
ENSBTAG00000014253	A0AAA9SHH4	
ENSBTAG00000015314	A0A3Q1MI98	
ENSBTAG00000021144	A0A3Q1N8Q0	
ENSBTAG00000002051	A0A3Q1LWB8	
ENSBTAG00000014253	A0AAA9SAU3	
ENSBTAG00000014253	A0AAA9SSE9	
ENSBTAG00000015314	A0AAA9T703	
ENSBTAG00000017457	A0A3Q1M334	
ENSBTAG00000014614	G8JKX4	
ENSBTAG00000021144	A0AAA9RSR0	
ENSBTAG00000008876	E1BKI7	
ENSBTAG00000002051	A0AAA9SWJ0	
ENSBTAG00000021144	A0A3Q1MA62	
ENSBTAG00000000390	A0AAA9S4G2	
ENSBTAG00000014614		P62739
ENSBTAG00000002051	A0AAA9TU50	
ENSBTAG00000000390	Q08DH2	
ENSBTAG00000021144	F1MZI1	
ENSBTAG00000024801	F1MT40	
ENSBTAG00000024801	A0AAA9TRY3	
ENSBTAG00000008321	A0A452DI91	
ENSBTAG00000002051	A0AAA9TM18	
ENSBTAG00000024801	A0A3Q1M632	
ENSBTAG00000010785	A0A3Q1MVY3	
ENSBTAG00000020043	A0A3Q1M1P3	
ENSBTAG00000024801	E1BN73	
ENSBTAG00000010785	A5D7R0	
ENSBTAG00000001786		A5PJU6
ENSBTAG00000020043	A0A3Q1LLI7	
ENSBTAG00000008321	A0A3Q1MQ87	
ENSBTAG00000015182	A0AAA9TFX3	
ENSBTAG00000001786	A0AAF7AP89	
ENSBTAG00000008321	A0A3Q1LPX0	
ENSBTAG00000010785	A0AAA9S560	
ENSBTAG00000015182	A0A3Q1MRL1	
ENSBTAG00000020043	F1N458	
ENSBTAG00000008321	A0AAA9U1E0	
ENSBTAG00000015182	A0AAA9T713	
ENSBTAG00000020043	A0A3Q1LN72	
ENSBTAG00000015182	A0A3Q1MLT4	
ENSBTAG00000008321		Q2HJ46
ENSBTAG00000015182	F1MXU5	
ENSBTAG00000046514	G3MY50	
ENSBTAG00000010003	F1MTI8	
ENSBTAG00000015182	A0AAA9T8F0	
ENSBTAG00000008321	A0AAA9TBC7	
ENSBTAG00000020601	E1BCS0	
ENSBTAG00000010163		F1MJW3
ENSBTAG00000008321	A0AAF7AKR0	
ENSBTAG00000014440	A0AAA9SBI5	
ENSBTAG00000014620	A0AAA9SNR6	
ENSBTAG00000021357	E1BG18	
ENSBTAG00000019059	A0AAA9SMX6	
ENSBTAG00000014440	A0AAA9S2X8	
ENSBTAG00000021357	E1BG18	
ENSBTAG00000010163	A0A3Q1M4R8	
ENSBTAG00000017091	A0AAA9T3C5	
ENSBTAG00000021357	E1BG18	
ENSBTAG00000014620	E1BPY1	
ENSBTAG00000019059	A0AAA9TWB9	
ENSBTAG00000014440		Q3ZCK9
ENSBTAG00000021357	E1BG18	
ENSBTAG00000019059		
ENSBTAG00000017091	A0AAF6Z3X1	A2VE39
ENSBTAG00000021357	E1BG18	
ENSBTAG00000014440	A0AAA9SCN7	
ENSBTAG00000021357	E1BG18	
ENSBTAG00000019059	E1BA85	
ENSBTAG00000017091	A0A3Q1LYF0	
ENSBTAG00000021357	E1BG18	
ENSBTAG00000013169	A0A3Q1MCK3	
ENSBTAG00000021357	E1BG18	
ENSBTAG00000017091	A0AAA9S2X0	
ENSBTAG00000001429	F1MPM5	
ENSBTAG00000021357	E1BG18	
ENSBTAG00000013657		Q8SPU7
ENSBTAG00000013169		Q3T0H0
ENSBTAG00000021357	E1BG18	
ENSBTAG00000001429	A0AAA9SK95	
ENSBTAG00000013657	G3N1V0	
ENSBTAG00000019062	A0AAA9RVX4	
ENSBTAG00000001429	A0AAA9S525	
ENSBTAG00000020184	A0A3S5ZPM1	
ENSBTAG00000012069	A0AAF6YWZ7	A1A4P9
ENSBTAG00000017435		
ENSBTAG00000003130	A0AAA9TLE2	
ENSBTAG00000019062	A0A3Q1N8L3	
ENSBTAG00000009019	F1MW39	
ENSBTAG00000017435	A0A3Q1NNR2	
ENSBTAG00000019062	F1MI02	
ENSBTAG00000003130	F1MYI7	
ENSBTAG00000009019	A0A3Q1LVH9	
ENSBTAG00000017435	A0AAA9T8Z8	
ENSBTAG00000003132	F1MC93	
ENSBTAG00000015321	E1BFC1	
