hsa	ath
ENSG00000165195	AT3G45100
ENSG00000165280	AT3G53230
ENSG00000165416	AT4G11260
ENSG00000165526	AT3G19440
ENSG00000165629	AT2G33040
ENSG00000165688	AT1G51980
ENSG00000165898	AT5G03905
ENSG00000165916	AT3G05530
ENSG00000165934	AT5G23880
ENSG00000166123	AT1G72330
ENSG00000166128	AT5G03520
ENSG00000166133	AT5G51140
ENSG00000166169	AT1G10520
ENSG00000166224	AT1G27980
ENSG00000166226	AT5G20890
ENSG00000166233	AT2G16090
ENSG00000166260	AT1G02410
ENSG00000166411	AT5G03290
ENSG00000166441	AT1G70600
ENSG00000166508	AT4G02060
ENSG00000166595	AT1G68310
ENSG00000166747	AT1G60070
ENSG00000166793	AT4G27745
ENSG00000166794	AT5G13120
ENSG00000166816	AT5G06580
ENSG00000166821	AT3G47430
ENSG00000166855	AT5G53350
ENSG00000166986	AT4G13780
ENSG00000167085	AT3G27280
ENSG00000167088	AT4G02840
ENSG00000167113	AT2G03690
ENSG00000167118	AT3G61113
ENSG00000167130	AT5G03080
ENSG00000167272	AT1G04635
ENSG00000167306	AT1G08730
ENSG00000167306	AT4G33200
ENSG00000167325	AT2G21790
ENSG00000167468	AT4G31870
ENSG00000167508	AT3G54250
ENSG00000167526	AT5G23900
ENSG00000167658	AT1G56070
ENSG00000167720	AT4G11640
ENSG00000167815	AT3G11630
ENSG00000167815	AT5G06290
ENSG00000167863	AT3G52300
ENSG00000167965	AT3G18140
ENSG00000168002	AT5G59180
ENSG00000168028	AT1G72370
ENSG00000168291	AT5G50850
ENSG00000168393	AT5G59440
ENSG00000168397	AT2G44140
ENSG00000168397	AT3G59950
ENSG00000168439	AT1G62740
ENSG00000168496	AT5G26680
ENSG00000168724	AT1G74250
ENSG00000168818	AT1G51740
ENSG00000168827	AT1G45332
ENSG00000168872	AT3G53110
ENSG00000169021	AT5G13430
ENSG00000169021	AT5G13440
ENSG00000169032	AT4G29810
ENSG00000169188	AT4G36050
ENSG00000169375	AT1G24190
ENSG00000169599	AT3G20970
ENSG00000169627	AT5G09830
ENSG00000169762	AT1G67960
ENSG00000169764	AT5G17310
ENSG00000170248	AT1G15130
ENSG00000170348	AT1G09580
ENSG00000170445	AT3G02760
ENSG00000170734	AT5G44740
ENSG00000170860	AT1G76860
ENSG00000171174	AT1G17160
ENSG00000171497	AT2G15790
ENSG00000171503	AT2G43400
ENSG00000171530	AT2G30410
ENSG00000171566	AT3G16650
ENSG00000171824	AT5G35910
ENSG00000171848	AT3G27060
ENSG00000171858	AT3G53890
ENSG00000171863	AT1G48830
ENSG00000171928	AT1G09330
ENSG00000172053	AT1G25350
ENSG00000172115	AT4G10040
ENSG00000172172	AT1G78630
ENSG00000172409	AT3G04680
ENSG00000172482	AT2G13360
ENSG00000172732	AT4G30870
ENSG00000172757	AT1G01750
ENSG00000172757	AT2G31200
ENSG00000172757	AT3G46000
ENSG00000172757	AT3G46010
ENSG00000172809	AT3G59540
ENSG00000172840	AT3G12620
ENSG00000172840	AT3G16560
ENSG00000172840	AT3G17090
ENSG00000172890	AT1G55090
ENSG00000172992	AT2G27490
ENSG00000173085	AT4G23660
ENSG00000173113	AT1G22270
ENSG00000173145	AT1G79150
ENSG00000173418	AT1G03150
ENSG00000173486	AT5G48580
ENSG00000173540	AT2G39770
ENSG00000173545	AT2G24500
ENSG00000173653	AT2G36305
ENSG00000173692	AT2G32730
ENSG00000174243	AT2G33730
ENSG00000174405	AT5G57160
ENSG00000174444	AT3G09630
ENSG00000174748	AT4G17390
ENSG00000175054	AT5G40820
ENSG00000175063	AT3G20060
ENSG00000175166	AT2G20580
ENSG00000175193	AT1G25290
ENSG00000175283	AT3G45040
ENSG00000175467	AT5G16780
ENSG00000175470	AT1G17720
ENSG00000175536	AT1G04640
ENSG00000175548	AT5G02410
ENSG00000175582	AT2G44610
ENSG00000175595	AT5G41150
ENSG00000175792	AT5G22330
ENSG00000176102	AT1G17760
ENSG00000176108	AT5G63880
ENSG00000176248	AT2G04660
ENSG00000176715	AT3G16170
ENSG00000176890	AT4G34570
ENSG00000177000	AT3G59970
ENSG00000177084	AT1G08260
ENSG00000177239	AT1G30000
ENSG00000177556	AT3G56240
ENSG00000177565	AT5G67320
ENSG00000177600	AT3G44590
ENSG00000177700	AT1G61700
ENSG00000177889	AT1G16890
ENSG00000177954	AT5G47930
ENSG00000178028	AT2G47210
ENSG00000178096	AT1G55805
ENSG00000178105	AT5G54910
ENSG00000178445	AT2G26080
ENSG00000178537	AT5G46800
ENSG00000178802	AT3G02570
ENSG00000178814	AT5G37830
ENSG00000178896	AT3G61620
ENSG00000178921	AT1G74260
ENSG00000178952	AT4G02930
ENSG00000179091	AT3G27240
ENSG00000179091	AT5G40810
ENSG00000179115	AT4G39280
ENSG00000179407	AT2G41000
ENSG00000180104	AT1G71820
ENSG00000180198	AT5G63860
ENSG00000180667	AT1G50670
ENSG00000180817	AT5G09650
ENSG00000180902	AT4G36400
ENSG00000181873	AT4G12130
ENSG00000182054	AT1G54340
ENSG00000182180	AT5G56940
ENSG00000182287	AT2G17380
ENSG00000182287	AT4G35410
ENSG00000182446	AT2G47970
ENSG00000182446	AT3G63000
ENSG00000182512	AT3G54900
ENSG00000182551	AT2G26400
ENSG00000182551	AT4G14710
ENSG00000182551	AT4G14716
ENSG00000182858	AT1G02145
ENSG00000182890	AT5G18170
ENSG00000182899	AT1G74270
ENSG00000183049	AT2G35890
ENSG00000183049	AT2G38910
ENSG00000183049	AT4G04740
ENSG00000183049	AT4G21940
ENSG00000183049	AT5G23580
ENSG00000183431	AT5G06160
ENSG00000183520	AT3G60360
ENSG00000184110	AT3G56150
ENSG00000184207	AT5G47760
ENSG00000184432	AT1G79990
ENSG00000184575	AT1G72560
ENSG00000184840	AT2G03290
ENSG00000185100	AT3G57610
ENSG00000185130	AT2G28720
ENSG00000185130	AT5G02570
ENSG00000185236	AT1G09630
ENSG00000185236	AT4G18430
ENSG00000185246	AT1G04080
ENSG00000185624	AT5G60640
ENSG00000185627	AT4G19006
ENSG00000185721	AT4G39520
ENSG00000185787	AT4G37280
ENSG00000185808	AT1G61280
ENSG00000185813	AT2G38670
ENSG00000185883	AT1G19910
ENSG00000186288	AT3G52380
ENSG00000186334	AT4G38250
ENSG00000186468	AT5G02960
ENSG00000186526	AT2G26710
ENSG00000186526	AT3G14680
ENSG00000186591	AT1G63800
ENSG00000186908	AT5G20350
ENSG00000187024	AT1G18440
ENSG00000187555	AT3G11910
ENSG00000188092	AT4G27630
ENSG00000188486	AT1G51060
ENSG00000188486	AT4G27230
ENSG00000188566	AT3G02280
ENSG00000188706	AT4G24630
ENSG00000188706	AT5G41060
ENSG00000188846	AT4G27090
ENSG00000188976	AT2G18220
ENSG00000189007	AT1G48175
ENSG00000189091	AT3G55200
ENSG00000189283	AT5G58240
ENSG00000196235	AT4G08350
ENSG00000196236	AT1G09300
ENSG00000196305	AT4G10320
ENSG00000196419	AT1G16970
ENSG00000196455	AT4G29380
ENSG00000196504	AT1G44910
ENSG00000196504	AT3G19670
ENSG00000196511	AT2G44750
ENSG00000196591	AT4G38130
ENSG00000196850	AT4G16580
ENSG00000197119	AT1G79900
ENSG00000197170	AT5G64760
ENSG00000197312	AT3G13235
ENSG00000197498	AT3G23620
ENSG00000197548	AT5G45900
ENSG00000197586	AT5G18280
ENSG00000197728	AT3G56340
ENSG00000197756	AT3G60245
ENSG00000197780	AT1G02680
ENSG00000197894	AT5G43940
ENSG00000197958	AT5G60670
ENSG00000198034	AT5G07090
ENSG00000198034	AT5G58420
ENSG00000198130	AT2G30660
ENSG00000198242	AT3G55280
ENSG00000198258	AT5G42300
ENSG00000198276	AT3G27190
ENSG00000198276	AT5G40870
ENSG00000198356	AT1G01910
ENSG00000198522	AT4G21800
ENSG00000198554	AT3G42660
ENSG00000198563	AT5G11200
ENSG00000198668	AT5G37780
ENSG00000198677	AT1G76630
ENSG00000198682	AT3G22890
ENSG00000198755	AT2G27530
ENSG00000198793	AT1G50030
ENSG00000198804	ATMG01360
ENSG00000198841	AT1G13870
ENSG00000198862	AT5G58410
ENSG00000198874	AT1G75200
ENSG00000198887	AT5G15920
ENSG00000198898	AT3G05520
ENSG00000198900	AT5G55310
ENSG00000198918	AT3G02190
ENSG00000198925	AT2G31260
ENSG00000198931	AT4G22570
ENSG00000204220	AT1G29990
ENSG00000204348	AT4G17620
ENSG00000204392	AT1G03330
ENSG00000204394	AT1G14610
ENSG00000204410	AT3G20475
ENSG00000204435	AT2G44680
ENSG00000204435	AT5G47080
ENSG00000204628	AT3G18130
ENSG00000205339	AT2G31660
ENSG00000205629	AT1G02100
ENSG00000206527	AT5G10480
ENSG00000211456	AT3G51460
ENSG00000213246	AT5G08565
ENSG00000213741	AT4G33865
ENSG00000213780	AT4G17020
ENSG00000213782	AT5G60990
ENSG00000213923	AT4G26100
ENSG00000213930	AT5G18200
ENSG00000213995	AT5G19150
ENSG00000214160	AT2G47760
ENSG00000214253	AT5G12390
ENSG00000215021	AT4G28510
ENSG00000215305	AT2G38020
ENSG00000215845	AT2G21045
ENSG00000217930	AT3G59280
ENSG00000221983	AT3G52590
ENSG00000223493	AT3G46960
ENSG00000223501	AT1G71270
ENSG00000225830	AT2G18760
ENSG00000231500	AT1G22780
ENSG00000232804	AT3G12580
ENSG00000233927	AT5G64140
ENSG00000235941	AT3G12580
ENSG00000239857	AT5G63220
ENSG00000240583	AT3G53420
ENSG00000241343	AT4G14320
ENSG00000241553	AT4G14147
ENSG00000241685	AT2G30910
ENSG00000241837	AT5G13450
ENSG00000241878	AT4G16700
ENSG00000241973	AT1G49340
ENSG00000242372	AT3G55620
ENSG00000242612	AT3G12800
ENSG00000244005	AT5G65720
ENSG00000244038	AT5G66680
ENSG00000247626	AT3G55400
ENSG00000250506	AT3G48750
ENSG00000253506	AT3G12390
ENSG00000253506	AT3G49470
ENSG00000253710	AT2G40190
ENSG00000254772	AT1G09640
ENSG00000256269	AT5G08280
ENSG00000257365	AT5G40280
ENSG00000261236	AT2G40360
ENSG00000262145	AT3G03420
ENSG00000263014	AT3G01390
ENSG00000265354	AT3G04800
ENSG00000265681	AT1G67430
ENSG00000265808	AT1G11890
ENSG00000267673	AT4G05450
ENSG00000271303	AT1G31170
ENSG00000272047	AT1G12400
ENSG00000273761	AT3G16840
ENSG00000274442	AT1G80070
ENSG00000274474	AT1G78300
ENSG00000274626	AT5G15200
ENSG00000274626	AT5G39850
ENSG00000275600	AT4G17910
ENSG00000275885	AT1G60170
ENSG00000275903	AT1G21720
ENSG00000276726	AT5G48030
ENSG00000277104	AT4G16420
ENSG00000277157	AT5G59970
ENSG00000277594	AT3G09720
ENSG00000278174	AT4G04910
ENSG00000278229	AT2G05220
ENSG00000278501	AT3G10110
ENSG00000280548	AT5G52470
ENSG00000280627	AT3G17910
ENSG00000280831	AT4G34555
ENSG00000280858	AT2G47610
ENSG00000281221	AT5G58290
ENSG00000282739	AT4G39460
ENSG00000283104	AT1G11870
ENSG00000283391	AT1G30230
ENSG00000283883	AT1G50500
ENSG00000284238	AT5G63920
ENSG00000284320	AT4G32520
ENSG00000284770	AT1G71440
ENSG00000284967	AT4G34650
ENSG00000285049	AT5G51660
ENSG00000285070	AT4G37680
ENSG00000285250	AT4G25130
ENSG00000285326	AT1G72320
ENSG00000285339	AT4G05000
ENSG00000288114	AT3G61420
ENSG00000288146	AT2G17250
ENSG00000288217	AT5G56290
ENSG00000288503	AT4G15850
ENSG00000291237	AT3G10920
ENSG00000291420	AT3G12110
ENSG00000291508	AT3G19760
ENSG00000291539	AT1G18260
ENSG00000291834	AT5G23290
ENSG00000291931	AT1G58380
ENSG00000291931	AT1G58983
ENSG00000291938	AT5G16750
ENSG00000291944	AT1G49880
ENSG00000291996	AT2G20490
ENSG00000292158	AT4G34670
